DelayedWord,DelayedRT
ANIMAL,5466.415
HORSE,3499.505
QUEEN,1947.64
XXXXX,7994.205
TIME,3970.74
BEFORE,2023.27
OFFICE,1827.135
GIRLS,2284.74
UNCLES,2770.795
XXXXX,7991.365
XXXXX,8009.56
DOLLAR,1997.425
XXXXX,8004.065
TIME,3847.245
HORSE,5020.015
XXXXX,7989.335
XXXXX,7989.34
XXXXX,8006.505
XXXXX,8002.835
XXXXX,7992.94
XXXXX,8010.47
XXXXX,7989.115
XXXXX,7989.875
H,7990.875
QUEEN,2724.24
FIVE,6802.615
XXXXX,7998.58
XXXXX,7991.695
XXXXX,7989.635
XXXXX,8009.77
XXXXX,7997.03
XXXXX,8006.35
XXXXX,8002.055
XXXXX,8001.96
XXXXX,7988.72
JJJJJJJJJJJJJ,7997.025
XXXXX,8009.27
XXXXX,8013.845
XXXXX,7988.5
IDONTKNOW,7995.67
QUART,3848.55
XXXXX,7989.46
BE,8003.99
BEFORE,3029.255
XXXXX,8013.63
XXXXX,7999.155
XXXXX,8003.295
WAIT,4616.1
PICKLE,2194.21
FISH,2150.125
FLOWER,3221.275
STAIRS,4647.83
BIRD,2759.07
DAGGER,4066.535
GLORY,3767.245
GROSS,4213.335
ORANGE,5279.8
BOMB,4198.605
EGGS,7998.89
MONEY,3448.505
HORN,3831.18
WORK,3094.425
CHEESE,2823.12
SELLER,3035.935
STORY,4362.34
CHANGE,3991.76
JAIL,5519.15
SONG,2541.91
CLAM,4189.74
STOP,4138.905
SMOOTH,5248.59
WEST,3599.625
NICKEL,8007.135
BRIDE,4086.205
SMILE,4014.55
DIRT,3505.72
JUMP,3467.91
KISS,8001.69
FIVE,5746.935
SORRY,3326.815
HOOP,7997.095
DEVIL,3031.475
HOTEL,7995.995
DEAF,7995.84
POUND,8006.34
LAND,2859.28
KILL,8003.535
STARS,8009.56
WORLD,8008.78
FROG,7993.15
TIGHT,8023.56
DOOR,7998.75
MINOR,8001.775
DEVI,4052.105
