RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
BELL,z,1.4954,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
PLAN,z,1.1536,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
NIGHTS,slash,3.4579,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
STICKY,z,0.9523,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
JEANS,z,1.0187,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TOOL,slash,0.557,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
BLACK,slash,1.6549,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
CHAIR,z,2.1138,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
LARGE,slash,0.9347,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
YEAR,z,1.0152,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TIRED,z,1.899,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
READ,slash,0.8521,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
FENCE,z,1.153,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
CANDLE,slash,2.4225,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TRAILER,,,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SLOW,z,1.4924,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
FINISH,slash,1.0985,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TOCK,z,3.7155,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SHEEP,slash,0.8501,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
STARS,slash,1.135,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SAME,z,0.8037,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
WORLD,slash,0.6571,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TIGER,slash,1.1485,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TOWN,z,0.7171,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
DUSK,z,1.5514,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
THANKS,slash,0.7592,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
HAPPY,slash,0.6891,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SING,slash,0.7822,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
RAIN,z,0.762,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
GIRLS,slash,0.96,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SPIDER,slash,0.7742,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
WRITE,slash,1.6784,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
GUILT,z,0.7923,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
RIGHT,slash,1.1992,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
LIGHT,slash,1.5989,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
GLASSES,z,1.5737,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
HOOP,slash,0.9521,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
HEAR,slash,1.1322,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
MOST,slash,0.9032,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SCISSORS,z,0.6331,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
CLEAR,slash,0.7753,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
PURPOSE,z,1.0851,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
WEIGHT,slash,0.8352,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
WINTER,slash,2.0667,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SMALL,slash,3.2877,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SHALLOW,z,0.733,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
WHEAT,slash,0.7164,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
CASTLE,z,1.525,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SILK,z,2.857,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SQUARE,z,1.164,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SORRY,slash,0.5155,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
PROPER,z,2.8234,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
TREE,slash,3.2163,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
SWAMP,slash,0.7322,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
GEEK,slash,0.7084,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
ONCE,slash,1.2616,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
HEAD,slash,1.7335,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
MAYBE,z,0.6646,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
WEST,slash,0.6379,5f80de286ae5b21801a82f30,1,2021-06-03_12h50.07.399,DelayedExp,2020.1.3,60
