Participant,Prime,Prime_Duration,rt,Response
5f80de286ae5b21801a82f30,RESUME,499.9,2816.9,REASUME
5f80de286ae5b21801a82f30,MIDLAND,500.1999999,2717.2,MIDLAND
5f80de286ae5b21801a82f30,STARK,500.0999999,3133.6,STARK
5f80de286ae5b21801a82f30,TRIVIA,500.1,2033.5,TRIVAL
5f80de286ae5b21801a82f30,LYNX,499.9,1949.9,LYNX
5f80de286ae5b21801a82f30,CORNER,499.9,2600.2,CORNER
5f80de286ae5b21801a82f30,CHEER,500.1,1683.6,CHEER
5f80de286ae5b21801a82f30,CEASE,500,1566.7,CEASE
5f80de286ae5b21801a82f30,OPTION,500,2016.8,OPTION
5f80de286ae5b21801a82f30,SHAVE,500,2766.9,SHAVE
5f80de286ae5b21801a82f30,VODKA,500.1,1233.5,VODKA
5f80de286ae5b21801a82f30,PEEP,500,1366.7,PEEP
5f80de286ae5b21801a82f30,FOREST,500.0999999,1616.7,FOREST
5f80de286ae5b21801a82f30,FAUNA,500,1383.6,FAUNA
5f80de286ae5b21801a82f30,KEEP,500.1,1300,KEEP
5f80de286ae5b21801a82f30,SPUN,500,4800.4,SPUN
5f80de286ae5b21801a82f30,MUZZLE,500,1599.9,MUZZLE
5f80de286ae5b21801a82f30,MORAL,500,1316.9,MORALE
5f80de286ae5b21801a82f30,SPAN,500.1,1016.7,SPANS
5f80de286ae5b21801a82f30,VOID,500.1,1800.2,AVOID
5f80de286ae5b21801a82f30,TOTALLY,499.8,3950,TOTTALY
5f80de286ae5b21801a82f30,SPUNK,500,1850.1,SPUNK
5f80de286ae5b21801a82f30,MEET,500.1,1200.1,MEET
5f80de286ae5b21801a82f30,TRAITOR,500,2000.2,TRAITOR
5f80de286ae5b21801a82f30,SNAP,500.1999999,1616.8,SNAP
5f80de286ae5b21801a82f30,FREAK,499.9,1666.8,FREAK
5f80de286ae5b21801a82f30,DAMAGE,500.1,2383.4,DAMAGE
5f80de286ae5b21801a82f30,EFFIGY,496.7,557.8000001,XXXXX
5f80de286ae5b21801a82f30,HOSTEL,503.3000001,2521.7,HOSTEL
5f80de286ae5b21801a82f30,WIND,503.5,1504.4,WIND
5f80de286ae5b21801a82f30,PULL,503.4000001,2471.6,PULL
5f80de286ae5b21801a82f30,REACTOR,500.1,1866.8,REACTOR
5f80de286ae5b21801a82f30,UNEASY,500,1700.1,UNEASY
5f80de286ae5b21801a82f30,PIAZZA,500,2500,PIZZA
5f80de286ae5b21801a82f30,CLAW,500,1616.8,CLAW
5f80de286ae5b21801a82f30,LEND,500.1,2450.2,LEND
5f80de286ae5b21801a82f30,CHEAT,500.2,1400.5,CHEAT
5f80de286ae5b21801a82f30,SUIT,500,2450.1,SUIT
5f80de286ae5b21801a82f30,ERUPT,500,1866.9,ERUPT
5f80de286ae5b21801a82f30,FLAK,500,583.4,FLAK
