RecalledWord,StudyPosition,Block
OUTTAKE,1,1
STOP,2,1
WEST,3,1
YELLOW,4,1
STREAM,5,1
SELLER,6,1
WORK,7,1
NEPHEW,8,1
LAWYER,9,1
GROSS,10,1
CLAM,11,1
SHEETS,12,1
CHANGE,13,1
GLORY,14,1
PICKLE,15,1
BIRD,16,1
GUITAR,17,1
FISH,18,1
EGGS,19,1
SONG,20,1
TWELVE,21,1
MONEY,22,1
HORN,23,1
CHEESE,24,1
ORANGE,25,1
BOMB,26,1
NICKEL,27,1
BEACH,28,1
LENGTH,29,1
SMOOTH,30,1
NUMBER,31,1
STAIRS,32,1
FRIGHT,33,1
JAIL,34,1
FLOWER,35,1
DAGGER,36,1
DREAM,37,1
WEIGHT,38,1
RIGHT,39,1
CRACKER,40,1
CHAIR,41,1
STORY,42,1
GHOST,1,2
JUMP,2,2
LAND,3,2
TIGHT,4,2
SHOES,5,2
HOTEL,6,2
STOMACH,7,2
WORLD,8,2
KILL,9,2
SOUTH,10,2
SORRY,11,2
STARS,12,2
LEARN,13,2
FIVE,14,2
CAMP,15,2
SMILE,16,2
BLACK,17,2
SWEET,18,2
TRAIN,19,2
ROAD,20,2
BELOW,21,2
DEAF,22,2
LAKE,23,2
NOISE,24,2
KISS,25,2
THIEF,26,2
DIRT,27,2
BRIDE,28,2
DUSK,29,2
HOOP,30,2
TRASH,31,2
GEEK,32,2
PICTURE,33,2
SWAMP,34,2
DEVIL,35,2
SMOKE,36,2
MINOR,37,2
WHEAT,38,2
PRESENT,39,2
DOOR,40,2
FROG,41,2
POUND,42,2
THREAD,1,3
SUPPER,2,3
HUNGER,3,3
MOTHER,4,3
INHALE,5,3
NAVY,6,3
MOST,7,3
NEWS,8,3
PAIN,9,3
SLOW,10,3
MIDDLE,11,3
BUTTER,12,3
ARGUE,13,3
TOUR,14,3
LOOK,15,3
SOAP,16,3
PURPLE,17,3
THIRST,18,3
SPIDER,19,3
WAITER,20,3
WILD,21,3
CLUE,22,3
LESS,23,3
TENNIS,24,3
ALIVE,25,3
WINTER,26,3
STATES,27,3
BALLET,28,3
CANDLE,29,3
NOSE,30,3
SQUARE,31,3
TEST,32,3
VERB,33,3
BRANCH,34,3
FIRST,35,3
BORROW,36,3
READ,37,3
CHAIN,38,3
BUCKET,39,3
KIDNAP,40,3
SEEK,41,3
TOES,42,3
WHERE,1,4
CLOSE,2,4
HORSE,3,4
OFFICE,4,4
SHARK,5,4
UNCLE,6,4
QUEEN,7,4
WORST,8,4
PHONE,9,4
SPOON,10,4
CLOCK,11,4
BEFORE,12,4
TIGER,13,4
DOLLAR,14,4
YOURS,15,4
PEPPER,16,4
WHOLE,17,4
THERE,18,4
ANIMAL,19,4
CANCER,20,4
TEETH,21,4
MINUS,22,4
FOUND,23,4
CORAL,24,4
FENCE,25,4
LEMON,26,4
SHORT,27,4
LEAVES,28,4
GRASS,29,4
MINUTE,30,4
BEHIND,31,4
EARLY,32,4
THROW,33,4
MEAN,34,4
MUSCLE,35,4
ENTER,36,4
FINGER,37,4
QUART,38,4
GIRLS,39,4
ROCK,40,4
SHOVE,41,4
PLANT,42,4
