Participant,Prime,Prime_Duration,rt,Response
5fb65456d2527632686468a5,MIDLAND,222.585,1550.235,XXXXX
5fb65456d2527632686468a5,SHAVE,499.735,1883.545,SHAVE
5fb65456d2527632686468a5,TRAITOR,500.16,2133.58,TRAITOR
5fb65456d2527632686468a5,FOREST,500.225,1.38500001,XXXXX
5fb65456d2527632686468a5,FREAK,0.564999995,72012.755,XXXXX
5fb65456d2527632686468a5,EFFIGY,0.654999996,1.16,XXXXX
5fb65456d2527632686468a5,OPTION,1.185000001,1.279999997,XXXXX
5fb65456d2527632686468a5,VOID,0.750000007,1.774999997,XXXXX
5fb65456d2527632686468a5,MORAL,0.95999999,0.759999995,XXXXX
5fb65456d2527632686468a5,LYNX,0.685000007,1.100000009,XXXXX
5fb65456d2527632686468a5,HOSTEL,0.660000006,1206.145,XXXXX
5fb65456d2527632686468a5,FLAK,499.8,1599.08,FLAK
5fb65456d2527632686468a5,RESUME,500.05,1350.07,RESUME
5fb65456d2527632686468a5,SPUNK,499.945,1616.805,SPUNK
5fb65456d2527632686468a5,TOTALLY,500.06,3516.745,TOTALLY
5fb65456d2527632686468a5,CHEER,499.975,2416.715,CHEER
5fb65456d2527632686468a5,STARK,500.085,1683.78,STARK
5fb65456d2527632686468a5,LEND,500.015,1100.035,LEND
5fb65456d2527632686468a5,VODKA,499.985,1533.31,VODKA
5fb65456d2527632686468a5,CEASE,500.085,1366.72,CEASE
5fb65456d2527632686468a5,MUZZLE,499.98,1300.085,MUZZLE
5fb65456d2527632686468a5,TRIVIA,500.03,1350.075,TRIVIA
5fb65456d2527632686468a5,PULL,500.06,1600.1,PULL
5fb65456d2527632686468a5,SNAP,499.635,1250.195,SNAP
5fb65456d2527632686468a5,CLAW,500.075,1300.035,CLAW
5fb65456d2527632686468a5,SUIT,500.015,2333.445,SUIT
5fb65456d2527632686468a5,CORNER,500.56,4833.39,CORNER
5fb65456d2527632686468a5,MEET,500.21,1115.73,MEET
5fb65456d2527632686468a5,CHEAT,499.485,1152.105,CHEAT
5fb65456d2527632686468a5,PEEP,501.165,4188.155,PEEP
5fb65456d2527632686468a5,FAUNA,500.31,1300.305,FAUNA
5fb65456d2527632686468a5,UNEASY,500.505,1601.525,UNEASY
5fb65456d2527632686468a5,KEEP,504.09,2011.66,KEEP
5fb65456d2527632686468a5,DAMAGE,500,1288.505,DAMAGE
5fb65456d2527632686468a5,PIAZZA,500.065,1833.245,PIAZZA
5fb65456d2527632686468a5,WIND,500.015,950.03,WIND
5fb65456d2527632686468a5,ERUPT,500.005,1234.325,ERUPT
5fb65456d2527632686468a5,REACTOR,500.06,1839.4,REACTOR
5fb65456d2527632686468a5,SPAN,502.24,1004.84,SPAN
5fb65456d2527632686468a5,SPUN,503.93,2054.825,SPUN
