DelayedWord,DelayedRT
XXXXX,4320.2
BIKE,4952
WRITE,3278.4
ELBOW,7215.9
BE,7993.5
BREAD,2333.3
XXXXX,7994.4
BRAND,6320.1
XXXXX,7993.7
ITCH,1784.7
SMA,7992.5
SMALL,1451.2
XXXXX,7993.8
XXXXX,7285.2
XXXXX,277.5999999
XXXXX,7993.9
XXXXX,7993.7
XXXXX,7993.9
XXXXX,7993.7
XXXXX,7993.8
XXXXX,1423.5
XXXXX,236.0999999
XXXXX,270.9000001
XXXXX,270.8999999
XXXXX,375
XXXXX,1305.6
XXXXX,256.8000002
XXXXX,270.5999999
XXXXX,701.3
XXXXX,680.6000001
XXXXX,645.7
XXXXX,250
XXXXX,222.2
XXXXX,201.4000001
XXXXX,347.3
XXXXX,1215.4
XXXXX,278.9000001
XXXXX,312.3
XXXXX,257
XXXXX,229.3000002
XXXXX,243.1000001
XXXXX,305.4000001
XXXXX,264
XXXXX,291.7
XXXXX,263.8999999
XXXXX,416.7
XXXXX,249.7
XXXXX,340.3999999
XXXXX,291.8
XXXXX,326.5
XXXXX,250.0999999
XXXXX,222.1999998
XXXXX,284.9000001
XXXXX,270.8999999
XXXXX,361.1000001
XXXXX,326.3999999
XXXXX,180.8
XXXXX,264
XXXXX,256.8999999
XXXXX,354.0999999
XXXXX,2166.6
XXXXX,277.8
XXXXX,229.8
XXXXX,249.8999999
XXXXX,152.8000002
XXXXX,7993.9
XXXXX,7993.9
XXXXX,4799.1
XXXXX,687.2
XXXXX,673.5
XXXXX,1210.2
XXXXX,1465.3
XXXXX,7993.9
XXXXX,7994.1
XXXXX,7993.9
XXXXX,7996.6
XXXXX,5826.9
XXXXX,180.3
XXXXX,90.10000014
XXXXX,83.4000001
XXXXX,90.20000005
XXXXX,83.29999995
XXXXX,104.2
XXXXX,55.5
XXXXX,83.4000001
XXXXX,47.29999995
XXXXX,125.0999999
XXXXX,27.70000005
XXXXX,97.20000005
XXXXX,76.5
XXXXX,34.79999995
XXXXX,104.2
XXXXX,76.20000005
XXXXX,55.60000014
XXXXX,83.5
XXXXX,118
XXXXX,78.10000014
XXXXX,83.29999995
XXXXX,138.8999999
XXXXX,138.8
