Participant,Prime,Prime_Duration,rt,Response
60185fd08459210c3da96976,CEASE,499.6,6251.63,CEASE
60185fd08459210c3da96976,FREAK,499.6849999,3367.55,FREAK
60185fd08459210c3da96976,EFFIGY,499.015,815.9400001,XXXXX
60185fd08459210c3da96976,DAMAGE,499.2,2901.78,DAMAGE
60185fd08459210c3da96976,SUIT,499.3100001,2350.57,SUIT
60185fd08459210c3da96976,SPAN,498.9349998,1902.345,SPAN
60185fd08459210c3da96976,LYNX,498.8799999,2450.845,LYNX
60185fd08459210c3da96976,PIAZZA,498.8549999,4868.48,PLAZA
60185fd08459210c3da96976,OPTION,499.175,3132.78,OPTION
60185fd08459210c3da96976,RESUME,499.8249998,3066.365,RESUME
60185fd08459210c3da96976,REACTOR,497.945,3833.5,REACTOR
60185fd08459210c3da96976,PULL,498.3900001,3550.555,PULL
60185fd08459210c3da96976,CLAW,499.8949999,2016.27,CLAW
60185fd08459210c3da96976,SNAP,499.7649998,2235.16,SNAPS
60185fd08459210c3da96976,FOREST,500.34,2600.895,FOREST
60185fd08459210c3da96976,CORNER,498.9200002,2215.14,CORNER
60185fd08459210c3da96976,VODKA,499.94,1850.105,VODKA
60185fd08459210c3da96976,FLAK,500.4750001,2084.625,FLEAK
60185fd08459210c3da96976,HOSTEL,498.8899999,3335.965,HOSTEL
60185fd08459210c3da96976,LEND,500.2850001,1416.2,LEND
60185fd08459210c3da96976,SHAVE,494.31,2799.875,SHAVE
60185fd08459210c3da96976,PEEP,500.09,1459.29,PEEP
60185fd08459210c3da96976,CHEAT,495.685,2267.29,CHEAT
60185fd08459210c3da96976,TOTALLY,499.26,5933.74,TOTALLY
60185fd08459210c3da96976,MORAL,500.065,2332.105,MORAL
60185fd08459210c3da96976,TRIVIA,499.3099999,2517.17,TRIVIS
60185fd08459210c3da96976,MEET,499.5299999,1249.75,MEET
60185fd08459210c3da96976,TRAITOR,500.3199999,2499.74,TRAITOR
60185fd08459210c3da96976,VOID,498.595,1519.765,VOID
60185fd08459210c3da96976,UNEASY,499.0749999,2417.74,UNEASY
60185fd08459210c3da96976,CHEER,500.575,2051.21,CHEER
60185fd08459210c3da96976,FAUNA,498.7049999,2049.635,FAUNA
60185fd08459210c3da96976,MUZZLE,499.4450002,2698.975,MUZLLE
60185fd08459210c3da96976,WIND,499.9150001,3016.845,XXXXX
60185fd08459210c3da96976,STARK,498.715,2149.7,STARK
60185fd08459210c3da96976,SPUN,501.1549999,2050.415,SPUN
60185fd08459210c3da96976,MIDLAND,499.755,2549.225,MIDLAND
60185fd08459210c3da96976,ERUPT,499.2249999,2636.045,ERUPT
60185fd08459210c3da96976,SPUNK,499.7149999,2916.675,SPUNK
60185fd08459210c3da96976,KEEP,499.8350001,1701.62,KEEP
