participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,LARGE,2104.1,firstword,firstword,,1,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,TIRED,1201.6,STARS,Unrelated,492.5,2,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,CASTLE,1860.6,THIEF,Unrelated,493.1,3,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,PRIDE,1409.5,ONCE,Identical,493,4,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,ALLOW,1430.6,BOUNCE,Related,493,5,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,MAID,1194.7,BACK,Related,493.1,6,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,GLASSES,1375,CERTAIN,Related,492.8,7,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,PENCIL,1423.4,DIRT,Unrelated,493.1,8,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,NINE,993.1,SATIN,Related,493.1,9,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SMART,1312.6,FROG,Unrelated,492.9,10,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,PLAN,1833.1,SPICE,Identical,493.1,11,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,BALL,1513.9,CAKE,Identical,493.1,12,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SOFT,2479,LAND,Unrelated,493.1,13,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,HELLO,1528.9,DENIM,Related,493,14,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SLEEP,1090.3,POUND,Unrelated,493,15,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,MONKEY,2659.6,WATER,Identical,493,16,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,JEANS,1131.8,COPY,Identical,493.1,17,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,OVEN,4203.1,KISS,Unrelated,493.1,18,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,ITCH,1312.4,BLAZE,Related,492.8,19,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,FRONT,1155.4,BANK,Identical,493,20,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,COPY,1433.6,SMILE,Unrelated,493,21,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,EFFECT,3089.1,EFFECT,Identical,493.2,22,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SPICE,4779,SORRY,Unrelated,493.1,23,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,LETTER,1589.7,MINIMUM,Identical,492.8,24,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,CAKE,2012.2,DONE,Related,493.1,25,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,FRONT,1582,UNCLEAR,Identical,493,26,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SURE,1145.9,MAD,Identical,493,27,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,MAD,666.6,ALLERGY,Related,493.1,28,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,ENGLISH,1534.6,PAPER,Identical,493.2,29,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SMALL,1131.9,SMALL,Identical,493,30,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,FIRE,1409.6,DESIRE,Related,493.1,31,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,BOSS,1614,BOSS,Identical,492.9,32,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SNEEZE,1881.9,SWEET,Unrelated,493.1,33,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,CARRY,3938.9,CARRY,Identical,493,34,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,UNCLEAR,1655.1,ROAD,Unrelated,493.1,35,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SILK,1673.6,FIVE,Unrelated,493,36,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,PENCIL,1152.8,GEEK,Unrelated,493,37,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,WATER,937.4,DOOR,Unrelated,493,38,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,FINISH,1118.1,BELOW,Unrelated,493,39,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,BANK,1596.9,SHOES,Unrelated,493,40,1
60411c26d1d9a003c6ea4809,1,2021-06-02_03h00.40.776,XL2.1ConstantTotalFinal,2020.1.3,60,SURE,1333.2,SOUTH,Unrelated,493,41,1
