RecalledWord,StudyPosition,Block
SPIDER,1,1
SQUARE,2,1
WINTER,3,1
NAVY,4,1
SEEK,5,1
CANDLE,6,1
MIDDLE,7,1
KIDNAP,8,1
THIRST,9,1
HUNGER,10,1
TENNIS,11,1
WAITER,12,1
THREAD,13,1
READ,14,1
NOSE,15,1
TOES,16,1
CHAIN,17,1
SLOW,18,1
SOAP,19,1
CLUE,20,1
FIRST,21,1
STATES,22,1
LESS,23,1
LOOK,24,1
BUTTER,25,1
SUPPER,26,1
ARGUE,27,1
NEWS,28,1
BUCKET,29,1
BRANCH,30,1
TEST,31,1
BALLET,32,1
VERB,33,1
MOST,34,1
PURPLE,35,1
ALIVE,36,1
WILD,37,1
BORROW,38,1
TOUR,39,1
INHALE,40,1
PAIN,41,1
MOTHER,42,1
THROW,1,2
MEAN,2,2
ANIMAL,3,2
QUEEN,4,2
TIGER,5,2
PLANT,6,2
YOURS,7,2
SPOON,8,2
MINUTE,9,2
PEPPER,10,2
UNCLE,11,2
SHOVE,12,2
BEHIND,13,2
ENTER,14,2
HORSE,15,2
EARLY,16,2
SHARK,17,2
ROCK,18,2
FINGER,19,2
MINUS,20,2
FOUND,21,2
BEFORE,22,2
CANCER,23,2
CLOSE,24,2
FENCE,25,2
OFFICE,26,2
LEMON,27,2
WHERE,28,2
PHONE,29,2
DOLLAR,30,2
TEETH,31,2
CORAL,32,2
MUSCLE,33,2
THERE,34,2
GIRLS,35,2
WORST,36,2
GRASS,37,2
SHORT,38,2
LEAVES,39,2
QUART,40,2
CLOCK,41,2
WHOLE,42,2
LAWYER,1,3
OUTTAKE,2,3
DAGGER,3,3
JAIL,4,3
STOP,5,3
YELLOW,6,3
MONEY,7,3
WORK,8,3
EGGS,9,3
FLOWER,10,3
GLORY,11,3
SMOOTH,12,3
ORANGE,13,3
GROSS,14,3
FISH,15,3
SHEETS,16,3
NUMBER,17,3
PICKLE,18,3
TWELVE,19,3
STAIRS,20,3
CLAM,21,3
SONG,22,3
LENGTH,23,3
BOMB,24,3
GUITAR,25,3
DREAM,26,3
BEACH,27,3
CHANGE,28,3
CHAIR,29,3
NICKEL,30,3
CHEESE,31,3
STORY,32,3
RIGHT,33,3
WEST,34,3
WEIGHT,35,3
FRIGHT,36,3
BIRD,37,3
HORN,38,3
NEPHEW,39,3
CRACKER,40,3
STREAM,41,3
SELLER,42,3
BLACK,1,4
DIRT,2,4
PICTURE,3,4
SMOKE,4,4
BRIDE,5,4
STARS,6,4
BELOW,7,4
JUMP,8,4
DOOR,9,4
ROAD,10,4
FIVE,11,4
WHEAT,12,4
PRESENT,13,4
GEEK,14,4
LAKE,15,4
KISS,16,4
TRASH,17,4
SOUTH,18,4
DEVIL,19,4
LEARN,20,4
KILL,21,4
HOTEL,22,4
DUSK,23,4
GHOST,24,4
MINOR,25,4
TRAIN,26,4
STOMACH,27,4
SWEET,28,4
SMILE,29,4
SWAMP,30,4
HOOP,31,4
TIGHT,32,4
SORRY,33,4
LAND,34,4
POUND,35,4
WORLD,36,4
DEAF,37,4
NOISE,38,4
THIEF,39,4
FROG,40,4
CAMP,41,4
SHOES,42,4
