Participant,Prime,Prime_Duration,rt,Response
607da39df127ab6004a8cd10,TRAITOR,492.93,4861.795,TRAITOR
607da39df127ab6004a8cd10,SNAP,492.995,1576.17,SNAP
607da39df127ab6004a8cd10,DAMAGE,493.145,888.95,DAMAGE
607da39df127ab6004a8cd10,CHEAT,493.23,902.85,CHEAT
607da39df127ab6004a8cd10,SHAVE,493.15,1493.2,SHAPE
607da39df127ab6004a8cd10,EFFIGY,493.09,1816.445,LEGAL
607da39df127ab6004a8cd10,SPUNK,493,1263.815,POUND
607da39df127ab6004a8cd10,CHEER,493.05,1326.42,CHEER
607da39df127ab6004a8cd10,STARK,492.945,951.52,XXXXX
607da39df127ab6004a8cd10,RESUME,493.11,1111.19,RESUME
607da39df127ab6004a8cd10,CEASE,493.095,811.125,XXXXX
607da39df127ab6004a8cd10,OPTION,493.06,1802.585,OPTION
607da39df127ab6004a8cd10,KEEP,492.95,979.21,KEEP
607da39df127ab6004a8cd10,SPAN,493.055,2229.52,SHY
607da39df127ab6004a8cd10,PEEP,493.03,1213.135,PEEP
607da39df127ab6004a8cd10,FLAK,493.205,1527.835,OPY
607da39df127ab6004a8cd10,SUIT,493.06,1048.765,TRACK
607da39df127ab6004a8cd10,SPUN,493.055,1317.445,SPUN
607da39df127ab6004a8cd10,CLAW,493.17,708.335,CLAW
607da39df127ab6004a8cd10,UNEASY,490.69,1291.745,LEVEL
607da39df127ab6004a8cd10,FOREST,493.105,1486.125,FOREST
607da39df127ab6004a8cd10,TRIVIA,490.42,1777.855,TRITVIA
607da39df127ab6004a8cd10,PULL,493.065,1045.895,PULL
607da39df127ab6004a8cd10,ERUPT,493.095,2985.105,FAST
607da39df127ab6004a8cd10,TOTALLY,493.09,1270.92,TAOTALY
607da39df127ab6004a8cd10,REACTOR,493.135,2062.525,TAOTALY
607da39df127ab6004a8cd10,MORAL,488.5,1129.84,LOYAL
607da39df127ab6004a8cd10,CORNER,493.045,1011.115,CENTER
607da39df127ab6004a8cd10,HOSTEL,493.085,1015.625,HOTEL
607da39df127ab6004a8cd10,LEND,493.1,1659.83,LAND
607da39df127ab6004a8cd10,MUZZLE,493.08,941.18,FOR
607da39df127ab6004a8cd10,PIAZZA,493.105,958.615,PIZZA
607da39df127ab6004a8cd10,FAUNA,493.015,1580.455,SAUNA
607da39df127ab6004a8cd10,VODKA,493.025,923.78,BEER
607da39df127ab6004a8cd10,VOID,493.23,666.625,VOID
607da39df127ab6004a8cd10,MEET,491.54,3800.275,OSK
607da39df127ab6004a8cd10,MIDLAND,493.18,2770.96,LOW
607da39df127ab6004a8cd10,FREAK,493.255,2939.845,BOOL
607da39df127ab6004a8cd10,LYNX,493.13,1010.98,LYX
607da39df127ab6004a8cd10,WIND,488.985,1736.325,WINDOWS
