DelayedWord,DelayedRT
YELLOW,3333.9
DOOR,2800.2
CAMP,2267.4
BELOW,5147.9
CHAIR,3833.4
SHEETS,3650.6
XXXXX,8000.6
XXXXX,8000.3
DIRT,1316.8
GHOST,6449.9
DEVIL,1800.5
XXXXX,7988.2
FINGER,3899.9
SHOES,4816.7
UNDER,6249.9
XXXXX,8000.1
XXXXX,7999.8
XXXXX,8000
CHILD,6255.7
NEPHEW,5066.7
XXXXX,7994.4
PHONE,3851
XXXXX,7988.9
HUNGRY,2199.9
THIRSTY,2766.4
JAIL,1583.1
NUMBER,4206.5
XXXXX,7987.9
XXXXX,7988.9
XXXXX,7999.9
TRASH,5972.6
XXXXX,7989
NOSE,5756.2
XXXXX,8000
BLACK,1583.2
XXXXX,7999.8
XXXXX,8000.1
XXXXX,7999.5
XXXXX,8003.9
XXXXX,8000.1
BOOK,4816.9
XXXXX,8000.3
READ,2304.6
SMILE,7095.5
WORLD,5976.3
XXXXX,8000
XXXXX,8004
CHEESE,4466.3
XXXXX,7989.1
XXXXX,8001
GIRL,6149.5
XXXXX,7999.9
FIVE,5283.2
XXXXX,7993.5
XXXXX,7999.5
XXXXX,8001
STOMACH,2894.2
XXXXX,8011.2
XXXXX,7988.8
XXXXX,7989.1
HEAR,1573.2
XXXXX,7999.7
XXXXX,8001.8
XXXXX,7989.9
XXXXX,8000
XXXXX,8000.5
XXXXX,7989.7
XXXXX,7989.8
XXXXX,7989.1
XXXXX,7999.5
XXXXX,8000.2
LEMON,2356.9
ORANGE,4349.5
XXXXX,7989.3
XXXXX,7989.6
XXXXX,8011.7
XXXXX,8000
XXXXX,7999.7
XXXXX,8000
FLOWER,2733.7
XXXXX,8000.7
XXXXX,8000.5
XXXXX,7999.5
BEE,5149.8
XXXXX,8000.4
XXXXX,8000.2
XXXXX,733.9
