participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,SOAP,7995.26,firstword,firstword,,1,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,ARGUE,7990.57,ARGUE,Identical,490.765,2,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,SUPPER,7998.83,NOSE,Identical,490.96,3,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,NOSE,7998.905,GUIDE,Related,491.14,4,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,BUTTER,7994.255,DEAD,Related,491.41,5,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,THIRST,7992.955,THIRST,Identical,491.435,6,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,MOTHER,7992.345,FATHER,Related,490.94,7,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,ALIVE,7994.42,NOUN,Related,490.865,8,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,MOST,8045.625,MORE,Related,491.28,9,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,KIDNAP,7991.17,CENTER,Related,490.975,10,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,PURPLE,7992.57,LEND,Related,491.1,11,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,WILD,7992.915,WILD,Identical,491.375,12,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,TEST,7996.63,TEST,Identical,491.315,13,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,WINTER,8000.055,WINTER,Identical,491.17,14,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,SQUARE,7995.165,TUTU,Related,491.09,15,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,NAVY,7994.44,LETTUCE,Unrelated,490.83,16,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,SPIDER,7992.405,SPIDER,Identical,490.63,17,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,RANCH,7997.115,SEEK,Identical,491.015,18,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,THREAD,7993.98,THREAD,Identical,491.37,19,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,WAITRESS,7997.235,FAST,Related,490.89,20,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,TENNIS,7992.705,TENNIS,Identical,491.385,21,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,BALLET,7989.685,BOARD,Unrelated,490.455,22,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,NEWS,7992.63,MEDIA,Related,491.475,23,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,BUCKET,7988.755,GLANCE,Related,491.225,24,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,NOSE,7991.005,BREAK,Unrelated,491.475,25,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,INHALE,7996.18,EXHALE,Related,495.74,26,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7989.12,HUNGER,Identical,495.975,27,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,CHAIN,7999.505,CHAIN,Identical,491.525,28,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7995.235,CLUE,Identical,491.19,29,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,STATES,7999.91,STATES,Identical,491.62,30,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,XXXXX,7996.995,TWIG,Related,491.06,31,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,PAIN,7989.575,PAIN,Identical,495.185,32,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,ARGUE,8861.32,VOLCANO,Unrelated,491.365,33,1
60b553fb5705a4355358afaf,1,2021-05-31_23h03.53.678,XL1.2ConstantTotalFinal,2020.1.3,60,CANDLE,7998.345,WICK,Related,487.745,34,1
