RecogWord,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate
FAKE,slash,1.7554,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHIP,z,0.91636,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
NEWS,slash,0.99324,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
THANKS,z,0.7535,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TWELVE,slash,0.781425,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BANK,slash,1.102315,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SURE,z,1.056325,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TOOTH,z,1.05412,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
OUTTAKE,slash,0.71571,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
STOMACH,slash,0.72971,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PAPER,slash,0.73592,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BEHIND,z,1.86101,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
DREAM,slash,0.9129,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
VOLCANO,z,0.945205,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HAIR,slash,0.68217,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
KISS,slash,0.577625,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SOUR,z,1.595885,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
STREET,slash,1.61278,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
KNIT,slash,1.085955,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
ALIVE,slash,1.26506,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CAKE,z,1.02424,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
THREAD,slash,0.81398,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
LESS,slash,0.78178,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
LEMON,slash,2.162855,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
REPEAT,z,0.88579,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BALLET,z,0.946165,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BELL,z,0.810455,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHOES,slash,0.651105,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
THIRST,slash,0.681345,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
LAUGH,slash,1.533885,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
ROAD,slash,0.977745,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
MANY,slash,0.86765,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CASTLE,z,0.98817,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHEETS,slash,1.24806,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
STING,z,1.1948,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
LAKE,slash,1.03373,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
ARGUE,slash,0.90308,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHERIFF,z,0.79857,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
LEAVES,slash,0.73776,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HORSE,slash,2.01411,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TEETH,z,0.91402,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PICTURE,z,0.98775,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SLIDE,z,0.804645,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BRAIN,z,0.88358,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BORROW,slash,1.019695,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
VOTE,z,1.152185,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WEIGHT,slash,1.219575,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CAMP,slash,0.680285,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
NONE,z,0.7804,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
ONCE,z,0.9493,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SMART,slash,0.89776,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
QUIET,z,1.41695,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
ENGLISH,z,1.08833,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PRIDE,z,1.22284,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
THROW,slash,1.157945,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
DISAGREE,z,0.910825,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SOAP,slash,1.522195,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WINTER,slash,0.67665,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
EXACT,z,0.89705,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
QUEEN,slash,0.755935,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
MINUTE,slash,0.897365,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
LETTER,z,1.263995,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CHANGE,z,1.41441,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TOCK,z,0.805975,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TOUR,slash,0.735175,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
ROOF,z,1.11536,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
MUSCLE,z,1.840285,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
MINUS,z,1.55237,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CRACKER,slash,0.796835,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SPOTS,z,1.320555,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BEFORE,z,1.91761,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HOOP,slash,1.73464,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
NOSE,slash,0.745195,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHOVE,slash,1.04667,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
STREAM,slash,1.94364,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CHOOSE,z,1.38502,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
QUART,z,0.780125,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WHERE,slash,0.779065,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SPIT,slash,3.028075,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BOSS,z,0.962255,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
DESERT,z,0.817095,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HELLO,z,0.84751,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PROBLEM,z,1.021425,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
RIGHT,slash,0.94255,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HOTEL,z,1.20804,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHORT,slash,1.55154,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WORLD,slash,0.91853,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
BOARD,z,1.63236,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WILD,slash,1.0711,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PLANE ,z,1.49604,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CHAIR,slash,0.78053,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
DRESS,z,0.945805,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
DOOR,slash,0.612365,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CLUE,slash,0.72063,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SILK,slash,1.42187,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TOUCH,z,1.500635,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
FRIGHT,slash,0.64631,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
FRONT,slash,0.883545,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
VERB,slash,0.7596,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SMILE,slash,1.21663,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HEAD,slash,0.815345,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WORK,slash,1.134585,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PROPER,slash,0.818005,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SEEK,z,1.022095,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
GEEK,z,0.654955,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
READ,z,0.924605,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
GLORY,z,2.454035,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WEST,slash,0.84524,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
HEAR,slash,0.75387,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
TRAILER,z,1.81857,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
DOLLAR,slash,0.77197,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
MARRY,z,1.118455,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHIRT,slash,1.98069,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
YOUNG,z,1.114205,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SWEET,slash,0.832795,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SHALLOW,z,0.992865,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
CHEESE,slash,0.697135,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
YOURS,slash,0.713965,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
SMELL,slash,0.954355,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
WARM,slash,0.682765,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
PIECE,z,2.0927,60b64f91aa927a88d3b860e6,1,2021-06-03_19h57.09.461,DelayedExp,2020.1.3,60
