Participant,Prime,Prime_Duration,rt,Response
60b64f91aa927a88d3b860e6,TOTALLY,496.8,2482.88,TOTALLY
60b64f91aa927a88d3b860e6,MEET,499.915,1849.465,MEET
60b64f91aa927a88d3b860e6,UNEASY,500.29,1299.355,UNEASY
60b64f91aa927a88d3b860e6,MUZZLE,499.735,1482.755,MUZZLE
60b64f91aa927a88d3b860e6,WIND,500.285,833.2,WIND
60b64f91aa927a88d3b860e6,FREAK,500,1416.865,FREAK
60b64f91aa927a88d3b860e6,TRIVIA,499.48,3332.82,TRIVIAL
60b64f91aa927a88d3b860e6,RESUME,499.81,1166.205,RESUME
60b64f91aa927a88d3b860e6,FLAK,504.585,1182.75,FLAK
60b64f91aa927a88d3b860e6,LEND,499.895,1532.73,LEND
60b64f91aa927a88d3b860e6,MIDLAND,499.79,1399.53,MIDLAND
60b64f91aa927a88d3b860e6,SPAN,499.965,865.675,SPAN
60b64f91aa927a88d3b860e6,VOID,499.645,936.33,VOID
60b64f91aa927a88d3b860e6,ERUPT,499.9,1949.29,ERUPT
60b64f91aa927a88d3b860e6,HOSTEL,500.3,2216.025,HOSTEL
60b64f91aa927a88d3b860e6,LYNX,499.79,1383.38,LYNX
60b64f91aa927a88d3b860e6,SUIT,500.07,966.27,SUTT
60b64f91aa927a88d3b860e6,FAUNA,499.845,1619.135,FAUNA
60b64f91aa927a88d3b860e6,SNAP,499.745,1533.255,SNA
60b64f91aa927a88d3b860e6,SPUN,499.685,1799.635,SPUN
60b64f91aa927a88d3b860e6,KEEP,500,1699.025,KEEP
60b64f91aa927a88d3b860e6,SHAVE,500.44,1116.4,SHAVE
60b64f91aa927a88d3b860e6,MORAL,500.36,1016.365,MORAL
60b64f91aa927a88d3b860e6,CLAW,499.94,1149.475,CLAW
60b64f91aa927a88d3b860e6,FOREST,500.03,1249.655,FOREST
60b64f91aa927a88d3b860e6,PULL,500.27,1249.755,PULL
60b64f91aa927a88d3b860e6,CORNER,500.005,1315.415,CORNER
60b64f91aa927a88d3b860e6,STARK,500.035,1199.535,STARK
60b64f91aa927a88d3b860e6,CHEER,499.78,1132.845,CHEER
60b64f91aa927a88d3b860e6,CEASE,499.785,983.005,CEASE
60b64f91aa927a88d3b860e6,OPTION,500.76,1182.76,OPTION
60b64f91aa927a88d3b860e6,REACTOR,499.975,1348.755,REACTOR
60b64f91aa927a88d3b860e6,CHEAT,499.595,999.425,CHEAT
60b64f91aa927a88d3b860e6,SPUNK,500.09,1166.305,SPUNK
60b64f91aa927a88d3b860e6,EFFIGY,499.985,2349.52,EFIGY
60b64f91aa927a88d3b860e6,TRAITOR,500.795,1732.905,TRAITOR
60b64f91aa927a88d3b860e6,PIAZZA,500.18,1999.54,PIAZZA
60b64f91aa927a88d3b860e6,DAMAGE,499.82,1382.695,DAMAGE
60b64f91aa927a88d3b860e6,VODKA,500.415,1599.555,VODKA
60b64f91aa927a88d3b860e6,PEEP,499.41,1182.775,PEEP
