RecalledWord,StudyPosition,Block
MANY,1,1
TOCK,2,1
REAL,3,1
PURPOSE,4,1
SLIDE,5,1
RENT,6,1
RAIN,7,1
TOOL,8,1
VOTE,9,1
WRONG,10,1
SHERIFF,11,1
SILVER,12,1
EXACT,13,1
POTATO,14,1
PLANE ,15,1
SAME,16,1
DRAW,17,1
THIN,18,1
EXCUSE,19,1
THANKS,20,1
CLOWN,21,1
CARD,22,1
SCISSORS,23,1
STRIPE,24,1
SPIT,25,1
BUSH,26,1
DRUGS,27,1
PIECE,28,1
MARRY,29,1
TRAILER,30,1
NECK,31,1
KNIFE,32,1
STAMP,33,1
YOUNG,34,1
QUIET,35,1
HATE,36,1
SHALLOW,37,1
DEATH,38,1
PACKAGE,39,1
DISAGREE,40,1
ANNOY,41,1
CHILD,42,1
STEAL,1,2
SELF,2,2
GRAND,3,2
BABY,4,2
UNDER,5,2
PENNY,6,2
STRESS,7,2
STUPID,8,2
ROSE,9,2
GUILT,10,2
DOCTOR,11,2
WOOD,12,2
CLASS,13,2
HEAD,14,2
MILK,15,2
WRITE,16,2
SPOTS,17,2
MOVE,18,2
STING,19,2
BRAIN,20,2
SHEEP,21,2
ARMS,22,2
SHIRT,23,2
TOUCH,24,2
REPEAT,25,2
EXPLODE,26,2
TOOTH,27,2
TOWN,28,2
PROPER,29,2
LIGHT,30,2
GRAVE,31,2
RULE,32,2
FAKE,33,2
SUBJECT,34,2
NIGHTS,35,2
BIKE,36,2
BREAD,37,2
KNIT,38,2
CELL,39,2
CLIMB,40,2
MATH,41,2
SKIN,42,2
COPY,1,3
FIRE,2,3
FINISH,3,3
BOSS,4,3
SMALL,5,3
SILK,6,3
OVEN,7,3
SURE,8,3
ALLOW,9,3
WATER,10,3
ONCE,11,3
CARRY,12,3
BANK,13,3
CASTLE,14,3
PLAN,15,3
MAID,16,3
SNEEZE,17,3
SLEEP,18,3
LARGE,19,3
LETTER,20,3
MAD,21,3
PENCIL,22,3
SMART,23,3
BALL ,24,3
ITCH,25,3
SOFT,26,3
HELLO,27,3
SPICE,28,3
MONKEY,29,3
UNCLEAR,30,3
MINIMUM,31,3
EFFECT,32,3
TIRED,33,3
PAPER,34,3
ENGLISH,35,3
PRIDE,36,3
JEANS,37,3
CAKE,38,3
NINE,39,3
WANT,40,3
GLASSES,41,3
FRONT,42,3
LETTUCE,1,4
CHOOSE,2,4
STRANGE,3,4
SICK,4,4
GAME,5,4
BELL,6,4
ROOF,7,4
STICKY,8,4
TALK,9,4
STORE,10,4
CLEAR,11,4
SOUR,12,4
MAYBE,13,4
FOOD,14,4
LOVE,15,4
STREET,16,4
BOARD,17,4
SHIP,18,4
SMELL,19,4
NONE,20,4
HEAR,21,4
DRESS,22,4
WARM,23,4
COLLECT,24,4
SING,25,4
MUSIC ,26,4
VOLCANO,27,4
BREAK,28,4
MAGIC,29,4
FIND,30,4
JACKET,31,4
LAUGH,32,4
CHURCH,33,4
HAIR,34,4
TAKE,35,4
TREE,36,4
PROBLEM,37,4
HAPPY,38,4
LOSE,39,4
YEAR,40,4
DESERT,41,4
SWORD,42,4
