participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block,StudyPosition,Studied,PrimeRecalledCondition,PrimeFor
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,MANY,3565.5,firstword,firstword,NA,1,1,1,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,TOCK,2948.1,MEAN,Unrelated,499.3,2,1,2,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,REAL,2149.9,YOURS,Unrelated,500.8,3,1,3,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,PURPOSE,3729.2,PARCEL,Related,498.3,4,1,4,Studied,NA,PACKAGE
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,SLIDE,3785.7,STAMP,Identical,502,5,1,5,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,RENT,1691.7,AGREE,Related,500.1,6,1,6,Studied,NA,DISAGREE
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,ROOM,6204.1,THERE,Unrelated,500.7,7,1,NA,NA,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,VOTE,1991.5,YOUNG,Identical,500.7,8,1,9,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,WRONG,1965.7,TIGER,Unrelated,500.7,9,1,10,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,SHERIFF,5253,HATE,Identical,499.8,10,1,11,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,SILVER,2414.8,EXCUSE,Identical,499.8,11,1,12,Studied,NA,NA
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,EXACT,2903.2,SALIVA,Related,501.1,12,1,13,Studied,NA,SPIT
60bc0a7b8d5367972ad776b4,1,2021-06-05_20h41.06.125,XL2.3ConstantTotalFinal,2020.1.3,60,POTATO,2187.7,CHILD,Identical,503.1,13,1,14,Studied,NA,NA
