Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock
5ad63c167f70c10001904bc5,MOTHER,8000,Studied,23,1,Recalled,Identical,NA,NA,NA,NA,NA,firstword,,,
5ad63c167f70c10001904bc5,TEETH,8001.2,Studied,16,2,Recalled,Identical,4,Identical,TEETH,NA,NA,identical,teeth,4,2
5ad63c167f70c10001904bc5,PAIN,8001.8,Studied,27,1,Recalled,NA,3,Related,TWIG,BRANCH,NA,unrelated,,,
5ad63c167f70c10001904bc5,KIDNAP,8000,Studied,17,1,Recalled,NA,17,Identical,SUPPER,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,BLACK,8002,Studied,38,4,Recalled,Identical,32,Identical,BLACK,NA,NA,identical,black,32,4
5ad63c167f70c10001904bc5,LEAVES,8001.4,Studied,9,2,Recalled,Identical,39,Unrelated,YOUNG,NA,NA,identical,leaves,38,2
5ad63c167f70c10001904bc5,BEHIND,8001.1,Studied,13,2,Recalled,NA,2,Related,PINT,QUART,NA,unrelated,,,
5ad63c167f70c10001904bc5,THERE,8002.2,Studied,26,2,Recalled,NA,6,Unrelated,SHALLOW,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,CORAL,8000.3,Studied,2,2,Recalled,Identical,13,Identical,CORAL,NA,NA,identical,coral,13,2
5ad63c167f70c10001904bc5,SHARK,8000.6,Studied,3,2,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,shark,17,2
5ad63c167f70c10001904bc5,TIGER,8002.2,Studied,10,2,Recalled,NA,19,Unrelated,THIN,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,THIEF,8000.2,Studied,1,4,Recalled,NA,16,Unrelated,CASTLE,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,DOLLAR,8000.5,Studied,24,2,Recalled,NA,23,Unrelated,SAME,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,QUEEN,7988.9,Studied,38,2,Recalled,NA,24,Related,TROT,HORSE,NA,unrelated,,,
5ad63c167f70c10001904bc5,ROCK,8003.2,Studied,5,2,Recalled,Identical,9,Identical,ROCK,NA,NA,identical,rock,9,2
5ad63c167f70c10001904bc5,GRASS,7999.4,Studied,6,2,Recalled,Identical,14,Identical,GRASS,NA,NA,identical,grass,14,2
5ad63c167f70c10001904bc5,GUITAR,8001.5,Studied,9,3,Recalled,NA,21,Related,BANJO,GUITAR,BANJO,related,banjo,21,3
5ad63c167f70c10001904bc5,ORANGE,8001.6,Studied,39,3,Recalled,NA,2,Unrelated,ARMS,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,YELLOW,8002,Studied,42,3,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
5ad63c167f70c10001904bc5,KISS,8001.4,Studied,30,4,Recalled,NA,11,Unrelated,SPICE,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,KILL,8000.7,Studied,33,4,Recalled,Identical,12,Identical,KILL,NA,NA,identical,kill,12,4
5ad63c167f70c10001904bc5,FROG,8000.6,Studied,23,4,Recalled,NA,5,Unrelated,ALLOW,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,LAKE,8000.7,Studied,27,4,Recalled,NA,8,Unrelated,SURE,NA,POND,related,pond,4,4
5ad63c167f70c10001904bc5,SWAMP,8001.9,Studied,24,4,Recalled,NA,4,Related,POND,LAKE,NA,unrelated,,,
5ad63c167f70c10001904bc5,JAIL,7999.8,Studied,35,3,Recalled,NA,10,Related,INMATE,JAIL,INMATE,related,inmate,10,3
5ad63c167f70c10001904bc5,ENTER,8000.9,Studied,8,2,Recalled,Identical,5,Identical,ENTER,NA,NA,identical,enter,5,2
5ad63c167f70c10001904bc5,LIFE,8001.2,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5ad63c167f70c10001904bc5,NEWS,8002,Studied,32,1,Recalled,NA,6,Identical,MOST,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,BANK,8001.2,Not Studied,NA,NA,NotRecalled,Unrelated,NA,NA,NA,NA,NA,identical,bank,35,4
5ad63c167f70c10001904bc5,UNCLE,8001.2,Studied,25,2,Recalled,NA,31,Unrelated,VOTE,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,NEPHEW,8000.3,Studied,12,3,Recalled,Identical,35,Identical,NEPHEW,NA,NA,identical,nephew,35,3
5ad63c167f70c10001904bc5,LAWYER,8001.4,Studied,1,3,Recalled,NA,13,Unrelated,FAKE,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,GROSS,8001.2,Studied,2,3,Recalled,Identical,12,Identical,GROSS,NA,NA,identical,gross,12,3
5ad63c167f70c10001904bc5,GHOST,8001.5,Studied,2,4,Recalled,NA,17,Unrelated,BALL,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,HOOP,8001.1,Studied,36,4,Recalled,NA,37,Related,HULA,HOOP,HULA,related,hula,37,4
5ad63c167f70c10001904bc5,LEMON,8001.1,Studied,1,2,Recalled,Identical,7,Identical,LEMON,NA,NA,identical,lemon,7,2
5ad63c167f70c10001904bc5,OUTTAKE,8001,Studied,26,3,Recalled,NA,19,Unrelated,RULE,NA,NA,unrelated,,,
5ad63c167f70c10001904bc5,YOURS,8002.9,Studied,29,2,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5ad63c167f70c10001904bc5,GIRLS,8001.9,Studied,15,2,NotRecalled,NA,NA,NA,NA,NA,GUYS,related,guys,32,2
5ad63c167f70c10001904bc5,BEFORE,8000.5,Studied,30,2,Recalled,Identical,12,Identical,BEFORE,NA,NA,identical,before,12,2
5ad63c167f70c10001904bc5,BEACH,8009.2,Studied,20,3,Recalled,NA,39,Related,SAND,BEACH,SAND,related,sand,39,3
