Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,Prime,PrimePosition,PrimeBlock
5eefba8d074e4c26e6c730b9,CAKE,1732.6,Studied,3,3,Recalled,NA,2,Unrelated,DUSK,NA,NA,unrelated,,,
5eefba8d074e4c26e6c730b9,BAKE,2651.4,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5eefba8d074e4c26e6c730b9,OVEN,2032.9,Studied,6,3,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
5eefba8d074e4c26e6c730b9,DEATH,4800.3,Studied,4,1,Recalled,NA,2,Related,SKETCH,DRAW,NA,unrelated,,,
5eefba8d074e4c26e6c730b9,GRAVE,3583.7,Studied,39,2,Recalled,NA,4,Unrelated,EGGS,NA,NA,unrelated,,,
5eefba8d074e4c26e6c730b9,FUNERAL,1998.8,Practice,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5eefba8d074e4c26e6c730b9,SPIN,7018.3,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5eefba8d074e4c26e6c730b9,HAIR,5301.4,Studied,42,4,Recalled,Identical,12,Identical,HAIR,NA,NA,identical,hair,12,4
5eefba8d074e4c26e6c730b9,BRUSH,6935,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5eefba8d074e4c26e6c730b9,WATER,2500.6,Studied,2,3,Recalled,NA,3,Related,MEDIUM,LARGE,NA,unrelated,,,
5eefba8d074e4c26e6c730b9,BOOK,6150.8,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,related,read,4,4
5eefba8d074e4c26e6c730b9,TOY,5950.4,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
5eefba8d074e4c26e6c730b9,SPIT,3267.3,Studied,1,1,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
5eefba8d074e4c26e6c730b9,SPIN,2917.5,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
