participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,CELL,7995.12,firstword,firstword,,1,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,DOCTOR,8002.05,TENSION,Related,64.24499999,2,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,ROSE,7997.215,ESTEEM,Related,66.08000002,3,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,RULE,8001.11,DAGGER,Unrelated,65.50500001,4,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,HEAD,7996.06,WEIGHT,Unrelated,66.865,5,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,STEAL,7995.045,STORY,Unrelated,65.04000002,6,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.495,NIGHTS,Identical,66.87499999,7,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,WOOD,7951.02,BRAIN,Identical,64.26999997,8,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,KNIT,7994.99,CANYON,Related,66.88500001,9,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7993.515,BIKE,Identical,64.95500001,10,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7994.875,YELLOW,Unrelated,66.30000001,11,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,SUCKS,7999.805,SMOOTH,Unrelated,65.00499998,12,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.015,GLORY,Unrelated,62.39000001,13,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.595,MOVE,Identical,66.685,14,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.59,BLOUSE,Related,65.30999998,15,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,MILK,7994.405,TOWN,Identical,65.015,16,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.22,SESSION,Related,65.10499999,17,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7999.91,WRITE,Identical,65.41000001,18,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.27,PICKLE,Unrelated,66.88999999,19,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7998.845,IMPLODE,Related,65.13,20,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7994.645,CARESS,Related,65.31000001,21,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,STICK,7996.305,GUILT,Identical,65.57499999,22,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,SELF,7993.855,LAWYER,Unrelated,65.225,23,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,BREAD,7994.77,DUMB,Related,68.42,24,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7994.19,SHEETS,Unrelated,66.23999999,25,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,8008.33,STOP,Unrelated,63.035,26,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,TOOTH,7995.42,BENEATH,Related,65.28499999,27,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7998.58,LEGS,Related,66.83,28,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7997.37,CENT,Related,65.27999998,29,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.95,WASP,Related,66.005,30,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.84,SKIN,Identical,65.71,31,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7998.645,HORN,Unrelated,65.26,32,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.47,MATH,Identical,66.12,33,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.355,FRIGHT,Unrelated,65.01999998,34,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7999.97,STREAM,Unrelated,65.095,35,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.845,LIGHT,Identical,65.50999999,36,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.72,BEACH,Unrelated,65.25499999,37,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,ARMS,7995.785,BIRD,Unrelated,64.92999999,38,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.565,LENGTH,Unrelated,60.88,39,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.835,TOMB,Related,65.13499998,40,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.045,GUITAR,Unrelated,64.77499998,41,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,XXXXX,7995.275,LAMB,Related,65.03,42,1
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,MAD,7995.46,firstword,firstword,,1,2
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,LARGE,8001.445,GEEK,Unrelated,65.67499999,2,2
AA,1,2020-11-03_16h00.27.514,M2.4ConstantTotalFinal,2020.1.3,60,SILK,7986.415,SERVANT,Related,65.52500001,3,2
