participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,STICKY,5849.37,firstword,firstword,,1,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,DRESS,2499.965,MUSIC,Identical,65.94,2,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,ROOF,8001.18,SMELL,Identical,66.24499999,3,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,HAIR,8001.72,MAYBE,Identical,66.26999995,4,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,NONE,3618.62,YEAR,Identical,66.14999997,5,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,CHURCH,3849.665,DISCUSS,Related,65.04500005,6,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,BAKE,7216.42,TREE,Identical,67.61499995,7,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,BREAK,8000.695,DESERT,Identical,67.72999989,8,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,CLEAR,2566.795,WILD,Unrelated,66.2,9,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,SPINACH,8001.39,TART,Related,66.18000008,10,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,FOOD,7066.16,SALAD,Related,66.96999993,11,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,SWEET,7999.945,PROBLEM,Identical,64.98999998,12,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,LIE,7999.65,PAIN,Unrelated,68.42499995,13,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,FLOORS,8000.005,GAIN,Related,65.20499999,14,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,CRY,8000.965,VOLCANO,Identical,66.31999998,15,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,HEALTHY,8000.505,SEIZE,Related,67.73999997,16,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,LOVE,7999.67,TEST,Unrelated,66.31000002,17,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,WHISTLE,8000.22,BRANCH,Unrelated,64.35999996,18,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,YEAR,8001.65,CHOIR,Related,66.35500002,19,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,DESERT,8000.775,LESS,Unrelated,66.02500007,20,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,STORE,8001.46,CHESS,Related,67.255,21,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,HAIR,7582.785,WAND,Related,66.95000001,22,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,SING,784.0849999,CLUE,Unrelated,67.15000002,23,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,MUST,917.305,TOES,Unrelated,68.13499995,24,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,CLEAR,2900.58,INHALE,Unrelated,52.43000004,25,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,SICK,2115.825,BUCKET,Unrelated,65.01500006,26,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,SOLUTION,1565.97,GATHER,Related,68.15000006,27,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,STREET,2217.295,MIDDLE,Unrelated,66.83999998,28,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,BUSH,3383.075,LOOK,Unrelated,65.44499996,29,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,PANTS,1433.295,NEWS,Unrelated,66.81500003,30,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,COLD,834.455,SHIP,Identical,65.12000004,31,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,GAME,778.885,BOARD,Identical,65.8000001,32,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,HATE,1949.315,SEARCH,Related,66.20500004,33,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,THINK,4632.265,BELL,Identical,64.79500001,34,1
AF,1,2020-10-29_16h40.16.972,M2.2ConstantTotalFinal,2020.1.3,60,SWORD,1900.05,MOTHER,Unrelated,65.63000008,35,1
