DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePosition,PrimeBlock
SAME,6655.245,Studied,6,1,NA,1,firstword,firstword,NA,NA,unrelated,,
,7997.335,Studied,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHEEP,2457.015,Studied,NA,NA,NA,19,NA,NA,NA,NA,identical,18,2
TRAILER,4985.955,Studied,NA,NA,NA,2,NA,NA,NA,NA,unrelated,,
HATE,4210.035,Studied,NA,NA,NA,3,NA,NA,NA,NA,unrelated,,
ARMS,3263.25,Studied,NA,NA,NA,2,NA,NA,NA,NA,unrelated,,
ITCH,2559.415,Studied,NA,NA,NA,2,NA,NA,NA,NA,unrelated,,
,7998.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MOVE,1640.5,Studied,NA,NA,NA,5,NA,NA,NA,NA,unrelated,,
EXACT,7411.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
EXTENT,2292.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7995.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHIRT,6601.61,Studied,NA,NA,NA,14,NA,NA,NA,NA,unrelated,,
STORE,5662.33,Studied,NA,NA,NA,5,NA,NA,NA,NA,unrelated,,
NONE,1406.905,Studied,NA,NA,NA,6,NA,NA,NA,NA,unrelated,,
LAUGHS,2543.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
LAUGH,2455.22,Studied,NA,NA,NA,7,NA,NA,NA,NA,unrelated,,
HAPPY,1279.625,Studied,NA,NA,NA,8,NA,NA,NA,NA,unrelated,,
BOARD,5655.41,Studied,NA,NA,NA,42,NA,NA,NA,NA,identical,38,4
SWORD,5937.145,Studied,NA,NA,NA,38,NA,NA,NA,NA,unrelated,,
CLEAR,3840.525,Studied,NA,NA,NA,10,NA,NA,NA,NA,identical,6,4
HEAR,839.975,Studied,NA,NA,NA,9,NA,NA,NA,NA,unrelated,,
WATER,3863.475,Studied,NA,NA,NA,NA,NA,NA,NA,NA,,,
FOOD,910.45,Studied,NA,NA,NA,2,NA,NA,NA,NA,unrelated,,
,5470.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CLASS,3987.93,Studied,NA,NA,NA,15,NA,NA,NA,NA,unrelated,,
TREE,3004.29,Studied,NA,NA,NA,21,NA,NA,NA,NA,unrelated,,
ENGLISH,6285.88,Studied,NA,NA,NA,14,NA,NA,NA,NA,unrelated,,
NINE,802.0800001,Studied,NA,NA,NA,12,NA,NA,NA,NA,unrelated,,
MAD,7668.12,Studied,NA,NA,NA,15,NA,NA,NA,NA,unrelated,,
SHIP,4398.28,Studied,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7991.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8003.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PURPOSE,4744.745,Studied,NA,NA,NA,7,NA,NA,NA,NA,unrelated,,
PROPER,3699.16,Studied,NA,NA,NA,11,NA,NA,NA,NA,unrelated,,
,8005.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8004.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
TOCK,3097.8,Studied,NA,NA,NA,9,NA,NA,NA,NA,identical,7,1
,7990.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7994.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PENCIL,4540.6,Studied,NA,NA,NA,31,NA,NA,NA,NA,identical,31,3
PEN,804.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PAPER,6570.62,Studied,NA,NA,NA,4,NA,NA,NA,NA,unrelated,,
,7990.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8005.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
FINISH,7994.075,Studied,NA,NA,NA,9,NA,NA,NA,NA,unrelated,,
FINISH,2898.895,Studied,NA,NA,NA,9,NA,NA,NA,NA,unrelated,,
,7989.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CHAIR,7344.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8004.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7994.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8003.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7991.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8006.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7995.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPORT,1052.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7991.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8005.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8004.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8003.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7994.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8023.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,943.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,549.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,6452.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,426.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,17.75499998,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,300.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,1729.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,4460.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,320.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,125.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,123.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,2140.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,125.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,248.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,231.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,178.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,303.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,177.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,393.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,106.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,229.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7995.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,5768.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
