Participant,Prime,Prime_Duration,rt,Response
AR,CHEAT,65.76000003,1433.67,CHEAT
AR,SHAVE,66.80499995,1732.445,XXXXX
AR,CLAW,66.51999999,1682.905,CLAW
AR,FOREST,66.60999998,1567.895,FOREST
AR,UNEASY,67.17499997,2218.055,UNEASY
AR,ERUPT,66.22000004,1133.46,ERUPT
AR,DAMAGE,66.62000006,999.5949999,DAMAGE
AR,MIDLAND,65.925,1208.175,ISLAND
AR,FLAK,64.88000008,682.985,XXXXX
AR,HOSTEL,64.69500007,766.69,HOTEL
AR,REACTOR,65.27999998,1651.395,REACTOR
AR,SPUNK,67.56,932.35,SPUNK
AR,VODKA,67.77000008,787.135,VODKA
AR,TRIVIA,66.71499996,916.87,TRIVIA
AR,FREAK,66.95499993,1865.68,FREAK
AR,PIAZZA,66.47999992,934.9250001,PIZZA
AR,EFFIGY,66.34999998,1066.615,ENERGY
AR,CHEER,67.82499992,1199.155,CHEER
AR,LEND,66.80000003,1129.06,LEGEND
AR,VOID,66.60499994,951.2049999,VOID
AR,STARK,66.46999996,933.6,STARK
AR,LYNX,66.73000008,1117.16,XXXXX
AR,SPUN,67.1499999,904.8850001,SPUN
AR,TOTALLY,65.60500001,1074.12,TOTALLY
AR,MUZZLE,68.1400001,1533.39,MUZZLE
AR,TRAITOR,66.49500004,1484.07,TRAITOR
AR,KEEP,66.54999999,833.765,KEEP
AR,PULL,66.28000003,1200.205,PULL
AR,WIND,67.43500009,633.455,WIND
AR,SUIT,66.71500008,650.215,SUIT
AR,MORAL,66.505,684.04,MORAL
AR,PEEP,67.15999998,783.365,PEEP
AR,MEET,66.65000005,532.645,XXXXX
AR,RESUME,66.98999996,935.105,RESUME
AR,CEASE,67.30499992,399.91,XXXXX
AR,FAUNA,65.46499999,839.06,FAUNA
AR,SNAP,68.22000002,750.92,SNAP
AR,SPAN,66.91499997,998.94,PAIN
AR,OPTION,66.76500011,965.605,OPTION
AR,CORNER,67.67499994,950.22,CORNER
