Participant,Prime,Prime_Duration,rt,Response
AW,CEASE,66.95999997,3318.97,XXXXX
AW,VODKA,58.54499998,7999.44,XXXXX
AW,PULL,58.86499997,1891.17,PUL
AW,EFFIGY,64.87999996,3665.425,XXXXX
AW,UNEASY,68.51999997,8002.955,XXXXX
AW,MIDLAND,70.65499999,1417.845,WILD
AW,OPTION,62.57499999,2320.415,XXXXX
AW,SPUNK,58.61499999,7998.985,S
AW,LYNX,59.15499997,2098.18,XXXXX
AW,REACTOR,59.74999996,1800.89,REACH
AW,CLAW,65.76000003,3686.74,XXXXX
AW,PEEP,73.84500001,4358.575,XXXXX
AW,SNAP,81.99499996,1304.875,SNAP
AW,ERUPT,84.15000001,3231.415,XXXXX
AW,TOTALLY,59.13999997,1653.01,TALK
AW,SUIT,62.93499999,1096.69,XXXXX
AW,FLAK,69.00000002,1633.37,FLAKE
AW,STARK,94.18499999,1853.975,XXXXX
AW,KEEP,66.44000002,4389.43,KEEP 
AW,TRIVIA,66.52000005,1537.47,XXXXX
AW,TRAITOR,67.99499999,2104.305,TAT
AW,CORNER,64.45999997,924.195,XXXXX
AW,MORAL,66.13999995,3601.8,MORE
AW,VOID,65.24000003,2740.74,XXXXX
AW,RESUME,66.56499999,3215.815,RESUME
AW,MEET,65.98999997,952.475,XXXXX
AW,HOSTEL,67.74999999,1868.77,HOTEL
AW,SPAN,68.04499996,654.25,XXXXX
AW,SPUN,66.63999998,1308.45,SPIN
AW,SHAVE,66.46499998,369.2749999,XXXXX
AW,MUZZLE,65.72499999,316.485,XXXXX
AW,FAUNA,67.74500001,969.03,FUN
AW,WIND,68.40500003,502.775,XXXXX
AW,DAMAGE,67.95999996,1668.565,DAMAGE
AW,PIAZZA,53.53000003,569.62,XXXXX
AW,CHEER,65.56000002,1119.235,CHEER
AW,CHEAT,68.63500003,918.945,XXXXX
AW,LEND,67.645,1305.36,LEGEND
AW,FOREST,66.30499999,654.435,XXXXX
AW,FREAK,52.12000001,1604.565,FOX
