"participant","session","date","expName","psychopyVersion","frameRate","RecalledWord","RT","Prime","PrimeCon","PrimeDuration","OutputPosition","Block","StudyPosition","Studied","PrimeRecalledCondition","PrimeFor"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"PURPLE",1115.47,"firstword","firstword",NA,1,1,2,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"NOSE",882.975,"LAUGH","Unrelated",66.64,2,1,1,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TOES",851.295,"CENTER","Related",66.25,3,1,3,"Studied",NA,"MIDDLE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TOUR",800.815,"MOTHER","Identical",66.43,4,1,4,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"LESS",900.325,"QUIZ","Related",66.305,5,1,5,"Studied",NA,"TEST"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"ALIVE",966.38,"SWORD","Unrelated",66.055,6,1,8,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"MOTHER",918.5,"CIRCLE","Related",65.5,7,1,36,"Studied","Identical","SQUARE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"CLUES",1267.81,"LEND","Related",54.5,8,1,NA,NA,NA,"BORROW"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"WINTER",1517.74,"LINK","Related",68.77,9,1,28,"Studied",NA,"CHAIN"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"WAITER",866.765,"UNITED","Related",66.88,10,1,35,"Studied",NA,"STATES"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TENNIS",1384.28,"MAYBE","Unrelated",66.76,11,1,12,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BALLET",1002.53,"SPIDER","Identical",65.48,12,1,40,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"HUNGER",1083.26,"DINNER","Related",66.18,13,1,9,"Studied",NA,"SUPPER"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"THIRST",1233.1,"LOOK","Identical",65.725,14,1,37,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"KIDNAP",1398.32,"VERB","Identical",65.895,15,1,10,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BORROW",1082.36,"TAME","Related",67.93,16,1,30,"Studied",NA,"WILD"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"CANDLE",1400.26,"VOLCANO","Unrelated",67.145,17,1,26,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BRANCH",1702.705,"PEANUT","Related",78.755,18,1,41,"Studied",NA,"BUTTER"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"LESS",4033.28,"BOOK","Related",66.805,19,1,5,"Studied",NA,"READ"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"MOST",884.4,"MOST","Identical",66.405,20,1,34,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BUCKET",1565.555,"BUCKET","Identical",67.01000001,21,1,24,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TOUR",6518.46,"HIDE","Related",67.61,22,1,4,"Studied",NA,"SEEK"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SLOW",1483.905,"HAIR","Unrelated",66.66,23,1,15,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SQUARE",1016.815,"PAIN","Identical",66.23,24,1,22,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.885,"MEDIA","Related",67.175,25,1,NA,NA,NA,"NEWS"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.74,"ARMY","Related",66.41,26,1,NA,NA,NA,"NAVY"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"LOOK",848.77,"HINT","Related",66.58,27,1,19,"Studied","Identical","CLUE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SEEK",818.915,"LOSE","Unrelated",65.78,28,1,16,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.305,"ARGUE","Identical",67.84500001,29,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"NAVY",2195.575,"LETTUCE","Unrelated",67.23499999,30,1,29,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8007.12,"ZEST","Related",67.355,31,1,NA,NA,NA,"SOAP"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.625,"LAST","Related",64.76,32,1,NA,NA,NA,"FIRST"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"THREAD",1683.555,"NEEDLE","Related",64.815,33,1,31,"Studied",NA,"THREAD"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.305,"BELL","Unrelated",67.045,34,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.545,"EXHALE","Related",67.05,35,1,NA,NA,NA,"INHALE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8002.92,"TREE","Unrelated",65.81499999,36,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.915,"TALK","Unrelated",65.975,37,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.325,"WARM","Unrelated",65.585,38,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8002.965,"FOOD","Unrelated",66.09,39,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60," ",7999.61,"FIND","Unrelated",66.40500001,40,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.735,"TAKE","Unrelated",65.86,41,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",7999.84,"CHURCH","Unrelated",65.695,42,1,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"YOURS",985.19,"firstword","firstword",NA,1,2,42,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"WHERE",849.35,"HAND","Related",66.835,2,2,37,"Studied",NA,"FINGER"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"THERE",901.98,"WEED","Related",65.885,3,2,12,"Studied",NA,"GRASS"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"OFFICE",1115.7,"SLIDE","Unrelated",66.32,4,2,1,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BEHIND",1019.34,"NECK","Unrelated",66.145,5,2,20,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"LEMON",1048.77,"BUCK","Related",67.515,6,2,39,"Studied",NA,"DOLLAR"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BEFORE",999.645,"PUSH","Related",52.11,7,2,34,"Studied",NA,"SHOVE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"EARLY",896.775,"CLOCK","Identical",67.75,8,2,4,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"CLOCK",1534.75,"GIRLS","Identical",66.785,9,2,8,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"MUSCLE",1582.84,"MUSCLE","Identical",66.205,10,2,30,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"PLANT",2767.17,"RAIN","Unrelated",65.845,11,2,7,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"LEAVES",1228.385,"HOUR","Related",64.995,12,2,5,"Studied",NA,"MINUTE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"GRASS",1334.925,"QUEEN","Identical",66.755,13,2,24,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"GIRLS",917.25,"SPIT","Unrelated",66.81,14,2,31,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"QUEEN",1000.375,"DRAW","Unrelated",67.315,15,2,33,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SHORT",800.395,"AUNT","Related",66.56499999,16,2,32,"Studied",NA,"UNCLE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"UNCLE",851.635,"STRIPE","Unrelated",68.38,17,2,41,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"ANIMAL",1368.27,"BEST","Related",65.96,18,2,40,"Studied",NA,"WORST"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"HORSE",1050.62,"PHONE","Identical",67.395,19,2,26,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"MINUS",885.375,"MEAN","Identical",67.29,20,2,17,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"MEAN",669.065,"ROCK","Identical",68.825,21,2,19,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"ROCK",710.765,"FORK","Related",66.21,22,2,14,"Studied","Identical","SPOON"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TEETH",1705.465,"REEF","Related",52.39,23,2,21,"Studied",NA,"CORAL"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SPOON",967.22,"ENTER","Identical",67.045,24,2,25,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"CLOSE",716.94,"CLOSE","Identical",66.75,25,2,28,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"THROW",1368.875,"THROW","Identical",65.37,26,2,3,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"PHONE",4320.6,"PEPPER","Identical",66.73,27,2,6,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"MEAN",660.97,"CANCER","Identical",64.445,28,2,19,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"HORSE",935.005,"JAWS","Related",66.59,29,2,26,"Studied",NA,"SHARK"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TEETH",1301.96,"HALF","Related",67.095,30,2,21,"Studied",NA,"WHOLE"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SHARK",852.465,"PACKAGE","Unrelated",67.39,31,2,13,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"SHADE",5467.375,"CLOWN","Unrelated",52.45,32,2,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"LOST",1049.9,"LOST","Related",65.99,33,2,NA,NA,"Related","FOUND"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TIGE",1032.99,"LION","Related",66.835,34,2,NA,NA,NA,"TIGER"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"TIGER",1200.595,"WRONG","Unrelated",66.71,35,2,11,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"WORST",849.51,"TRAILER","Unrelated",67.92,36,2,38,"Studied",NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"BIRD",5688.595,"PINT","Related",67.12,37,2,NA,NA,NA,"QUART"
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"FENCE",1182.98,"FENCE","Identical",64.31,38,2,22,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8000.65,"SHALLOW","Unrelated",65.895,39,2,NA,NA,NA,NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"CANCER",4971.42,"CHILD","Unrelated",66.66,40,2,29,"Studied","Identical",NA
"BR",1,"2020-10-14_14h47.32.377","M1.2ConstantTotalFinal","2020.1.3",60,"XXXXX",8001.265,"EXCUSE","Unrelated",65.61999999,41,2,NA,NA,NA,NA
