DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePosition,PrimeBlock
PHONE,5062.055,Studied,26,1,NA,14,Related,PINT,QUART,NA,unrelated,,
GRASS,2432.52,Studied,27,1,NA,9,Related,HERE,THERE,NA,unrelated,,
KILL,4935.44,Studied,35,3,NA,"3,10",Related,DEMON,DEVIL,NA,unrelated,,
DEVIL,1448.475,Studied,38,3,NA,13,Unrelated,SMART,NA,DEMON,related,3,3
BEFORE,1517.305,Studied,14,1,NA,21,Identical,LEAVES,NA,AFTER,related,19,1
BEHIND,2500.11,Studied,28,1,NA,7,Related,OPEN,CLOSE,NA,unrelated,,
BIRD,2989.525,Studied,35,2,NA,22,Unrelated,HEAD,NA,NA,unrelated,,
TIGER,1282.26,Studied,4,1,NA,4,Identical,WHOLE,NA,NA,unrelated,,
CHEESE,1932.1,Studied,10,2,Identical,NA,NA,NA,NA,NA,,,
SWAMP,4814.725,Studied,2,3,NA,"4,8",Related,GLOBE,WORLD,NA,unrelated,,
SOUTH,1282.465,Studied,4,3,NA,"5,7",Identical,PICTURE,NA,NA,unrelated,,
,8001.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PHONE,3215.565,Studied,26,1,NA,14,Related,PINT,QUART,NA,unrelated,,
SORRY,1366.55,Studied,37,3,NA,16,Related,LOOSE,TIGHT,NA,unrelated,,
,7999.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AWAY,1915.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WORK,1165.935,Studied,24,2,NA,NA,NA,NA,NA,CHORE,,,
,7998.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BREAK,7999.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
KIDNAP,6998.535,Studied,14,4,NA,4,Unrelated,TREE,NA,NA,unrelated,,
OUTTAKE,1982.47,Studied,2,2,NA,NA,NA,NA,NA,INTAKE,,,
,8001.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
AROUND,4613.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WO,8000.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WORD,2382.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WORRY,4433.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
END,3582.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHSP,7482.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHAPE,1399.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SWEPT,4933.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
KEEP,1315.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
DINNER,7167.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
GROSS,2166.45,Studied,36,2,Identical,NA,NA,NA,NA,NA,,,
JAIL,1715.45,Studied,15,2,NA,11,Related,BANJO,GUITAR,NA,unrelated,,
,7999.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7995.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BED,5549.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MOTHER,1632.805,Studied,20,4,NA,12,Identical,THREAD,NA,NA,unrelated,,
FATHER,2499.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
USE,4551.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
USED,1116.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8009.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SEEN,6032.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7995.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BRUSH,5432.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7997.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SWEATER,1581.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHOES,6217.37,Studied,21,3,NA,NA,NA,NA,NA,SOCKS,,,
SHOE,1332.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ANIMAL,2300.755,Studied,39,1,Identical,NA,NA,NA,NA,NA,,,
K,8002.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
KNIFE,5148.17,NA,NA,NA,NA,14,Related,CHORE,WORK,NA,unrelated,,
,8002.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
THREAD,1499.85,Studied,30,4,Identical,NA,NA,NA,NA,NA,,,
,8004.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
THINK,2199.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7989.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PICKLE,2464.975,Studied,38,2,NA,"9,16",Unrelated,STING,NA,DILL,related,7,2
PICKLES,2765.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SMOKE,4949.405,Studied,41,3,NA,31,Identical,MINOR,NA,NA,unrelated,,
BURN,5774.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHED,4916.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,282.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,334.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,250.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,266.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,183.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,300.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,232.3950001,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
