participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,OUTTAKE,5096.48,firstword,firstword,,1,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,NICKEL,2047.635,SALTINE,Related,55.42000002,2,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,HORN,1513.575,HEAD,Unrelated,55.21999998,3,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,EGGS,2944.62,DOCTOR,Unrelated,55.66000001,4,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,MONEY,2798.465,MILK,Unrelated,55.75500001,5,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,BOMB,1909.51,LIGHT,Unrelated,55.38499999,6,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,WORK,1465.41,BREAD,Unrelated,55.425,7,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,STOP,1472.1,HOPE,Related,55.48499999,8,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,RIGHT,1285.55,RULE,Unrelated,55.605,9,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,CHEESE,2236.19,ALTER,Related,55.60000002,10,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,LAWYER,4597.35,PICKLE,Identical,55.41,11,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7993.53,DOZEN,Related,55.055,12,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,APPLE,4368.105,FAKE,Unrelated,55.22000001,13,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,SHIP,5208.48,SMOOTH,Identical,55.49999999,14,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,CONTAINER,2680.525,BIRD,Identical,52.23500001,15,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,YOU,7729.26,GRAND,Unrelated,55.33500001,16,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,METER,4986.27,HYMN,Related,55.32500002,17,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7993.085,FRIGHT,Identical,55.22000001,18,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7992.43,EXPLODE,Unrelated,55.45500002,19,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,UNKNOWN,6222.025,TABLE,Related,55.38000001,20,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,NO,937.425,WEIGHT,Identical,55.31,21,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,SEA,6214.27,SPOTS,Unrelated,55.605,22,1
CK,1,2020-10-20_01h19.29.399,M1.4ConstantTotalFinal,2020.1.3,60,SHELLFISH,7881.91,WIDTH,Related,55.14499999,23,1
