DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePosition,PrimeBlock
FROG,1334.28,Studied,1,1,NA,2,Identical,STOMACH,NA,NA,unrelated,,
SWAMP,2203.69,Studied,19,1,NA,7,Related,LIPS,KISS,NA,unrelated,,
HOOP,2765.075,Studied,6,1,NA,9,Related,CAMERA,PICTURE,NA,unrelated,,
SPIDER,1885.56,Studied,6,2,Identical,26,Identical,WILD,NA,NA,identical,17,2
WINTER,1416.91,Studied,8,2,NA,4,Unrelated,SMELL,NA,NA,unrelated,,
BRANCH,1549.73,Studied,24,2,NA,5,Unrelated,FOOD,NA,NA,unrelated,,
UNCLE,1283.96,Studied,22,3,NA,26,Unrelated,NECK,NA,AUNT,unrelated,,
NEPHEW,1683.495,Studied,23,4,Identical,27,Related,WIDTH,LENGTH,NA,identical,18,4
MOTHER,1067.08,Studied,18,2,NA,20,Unrelated,JACKET,NA,NA,unrelated,,
,8000.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
LEAVES,2800.245,Studied,21,3,NA,14,Related,TUMOR,CANCER,NA,unrelated,,
GRASS,2283.28,Studied,14,3,Identical,13,Unrelated,SILVER,NA,NA,identical,11,3
ROCK,1099.66,Studied,18,3,NA,15,Related,TROT,HORSE,NA,unrelated,,
STREAM,1900.775,Studied,3,4,NA,12,Related,ROUGH,SMOOTH,NA,unrelated,,
FENCE,1533.21,Studied,17,3,NA,"12,16",Related,AUNT,UNCLE,NA,unrelated,,
FISH,3451.745,Studied,33,4,NA,14,Related,LEFT,RIGHT,NA,unrelated,,
BIRD,3635.32,Studied,19,4,Identical,11,Related,PEEL,ORANGE,NA,identical,9,4
,8001.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
DAGGER,1833.935,Studied,8,4,NA,19,Identical,CHANGE,NA,CLOAK,unrelated,,
GLORY,1383.28,Studied,12,4,NA,18,Identical,NEPHEW,NA,NA,unrelated,,
BOMB,2066.635,Studied,11,4,Identical,20,Unrelated,GRAND,NA,NA,identical,5,4
JAIL,1583.225,Studied,20,4,NA,22,Identical,NUMBER,NA,INMATE,related,7,4
JOB,2500.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
STOP,1883.575,Studied,21,4,NA,21,Related,STEPS,STAIRS,NA,unrelated,,
,8001.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
GROSS,1266.37,Studied,5,4,Identical,29,Identical,WEST,NA,NA,identical,26,4
WEIGHT,1717.34,Studied,6,4,NA,30,Identical,GUITAR,NA,SCALE,related,28,4
LENGTH,1916.155,Studied,17,4,NA,31,Related,MELLOW,YELLOW,WIDTH,related,27,4
,8000.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
EAST,2250.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WEST,1517.105,Studied,36,4,Identical,32,Unrelated,BIKE,NA,NA,identical,29,4
,7999.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WHOLE,1066.945,Studied,1,3,NA,8,Unrelated,TRAILER,NA,NA,unrelated,,
EN,8000.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ENTER,1293.32,Studied,2,3,NA,5,Identical,TIGER,NA,NA,unrelated,,
SQUARE,7116.95,Studied,33,2,NA,"14,17",Unrelated,NONE,NA,NA,unrelated,,
,8000.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
LAKE,1101.51,Studied,4,1,NA,"3,11",Unrelated,COPY,NA,NA,unrelated,,
HOOP,7101.79,Studied,6,1,NA,9,Related,CAMERA,PICTURE,NA,unrelated,,
,8002.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
DREAM,1516.065,Studied,1,4,NA,"6,10",Related,DOZEN,TWELVE,NA,unrelated,,
SHEET,1265.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CHAIR,1267.585,Studied,31,4,Identical,8,Related,HONK,HORN,NA,identical,2,4
,8000.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CLOCK,5001.72,Studied,27,3,NA,1,firstword,firstword,NA,NA,firstword,,
MINUTE,1300.725,Studied,28,3,NA,2,Identical,SHOVE,NA,NA,unrelated,,
OFFICE,5415.505,Studied,40,3,Identical,4,Identical,OFFICE,NA,NA,identical,2,4
JOB,1949.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
VERB,1299.67,Studied,15,2,NA,21,Unrelated,STREET,NA,NA,unrelated,,
,7999.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
QUART,2117.92,Studied,41,3,NA,11,Identical,GRASS,NA,PINT,related,10,3
,8001.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8695.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,1135.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PEPPER,2417.02,Studied,32,3,NA,18,Identical,SHORT,NA,NA,unrelated,,
EGG,2151.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PICKLE,8000.405,Studied,25,4,NA,3,Unrelated,NIGHTS,NA,NA,unrelated,,
,8001.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CHEESE,6883.63,Studied,26,4,NA,4,Related,CLOAK,DAGGER,NA,unrelated,,
CRACKER,5985.045,Studied,15,4,NA,1,firstword,firstword,NA,NA,firstword,,
CHEESE,3917.135,Studied,26,4,NA,4,Related,CLOAK,DAGGER,NA,unrelated,,
,7999.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
FISH,2232.35,Studied,33,4,NA,14,Related,LEFT,RIGHT,NA,unrelated,,
FLOWER,4717.25,Studied,18,4,NA,15,Identical,STORY,NA,NA,unrelated,,
,8000.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PURPLE,3317.225,Studied,19,2,NA,16,Unrelated,LOVE,NA,NA,unrelated,,
NAVY,1333.465,Studied,16,2,NA,15,Identical,STATES,NA,ARMY,related,12,2
,8001.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8002.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
