DelayedWord,DelayedRT
MARRY,2383.375
SHERIFF,3050.415
,7999.825
GLASSES,2282.455
,8000.47
MANY,2733.995
BABY,7199.69
,7999.375
,8000.95
DOCTOR,4205.195
ANNOY,5366.04
,8000.265
,7999.53
ENOUGH,1982.085
,8001.18
,8000.17
,7999.585
PLANE,1699.12
SICK,4834.33
SOUR,1825.85
,8002.19
HIGH,1249.925
,8000.775
,7992.565
,8000.07
,8000.78
,7998.975
,7999.5
,8001.37
,8000.015
,7999.52
,8001.23
,7999.115
,7999.175
,8000.495
,8000.425
,7999.35
,7999.29
,7999.62
,8001.08
,7999.54
,7999.175
,8000.025
,6249.315
,865.06
ENJOY,6549.42
SHEEP,2350.06
WOOL,1250.515
,7999.465
,7999.19
,7999.85
,8001.725
,8000.22
,8000.255
,8000.635
,7999.98
,8000.185
,8002.905
,7998.95
,8000.795
,8000.205
,8001.585
,8000.565
,8000.38
,7999.79
,8001.535
,8000.16
,7999.33
,8000.035
,7999.15
,7999.415
,8001.32
,7999.505
,8000.16
,7999.4
,7999.96
,8001.26
,7989.04
,7998.765
,566.245
