"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"LETTER","z",3.34208,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",36,3,NA,"Identical","FIRE",NA,NA,"5",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"SONG","z",1.075925,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CAKE","slash",1.56172,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",14,3,"Identical","Unrelated","HOTEL",NA,NA,"34",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"WRONG","z",1.199315,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",9,1,NA,NA,NA,NA,"IMMORAL",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"TIRED","z",0.85091,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",29,3,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"NICKEL","z",0.799375,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ANNOY","slash",0.730305,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",11,1,NA,NA,NA,NA,"BOTHER",NA,"11","Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CHILD","slash",0.715265,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",35,1,NA,"Identical","TRAILER",NA,NA,"13",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"SOAP","z",1.74959,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SEEK","z",1.03028,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TEST","z",1.43436,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SNEEZE","slash",1.014365,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",22,3,NA,NA,NA,NA,"ALLERGY",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"MEAN","slash",0.98385,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"STAMP","slash",0.78096,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",27,1,NA,NA,NA,NA,"POSTAGE",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"LEAVES","slash",0.9135,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLOWN","slash",0.777085,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",40,1,NA,NA,NA,NA,"CIRCUS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PLAN","slash",0.64813,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",30,3,NA,NA,NA,NA,"SCHEME",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"QUIET","slash",0.647815,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",31,1,"Identical","Identical","QUIET",NA,NA,"14",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"BANK","z",0.749075,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",38,3,"Identical","Unrelated","WHEAT",NA,NA,"10",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"LARGE","z",0.8511,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",32,3,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"CHEESE","slash",0.866405,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"JAIL","slash",1.74926,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"SPOTS","z",0.69855,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",24,2,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SURE","slash",0.766085,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",27,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"HUNGER","z",0.830325,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WAITER","z",1.26664,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ALIVE","slash",0.65089,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"DOLLAR","z",0.732345,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WEST","z",0.66455,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CHOOSE","slash",0.966485,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",7,4,"Identical","Identical","CHOOSE",NA,NA,"31",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"DAGGER","z",0.84494,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"WHERE","z",0.716895,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"DOOR","z",0.88104,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"HORSE","z",0.714215,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TREE","slash",0.68068,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",31,4,"Identical","Identical","LETTUCE",NA,NA,"19",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"BRANCH","z",0.66636,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"THIRST","z",0.96469,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"MAD","slash",0.649785,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",16,3,NA,"Related","ALLERGY","SNEEZE","ANGER","36",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"TWELVE","z",0.602835,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"BELL","z",0.71535,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",21,4,NA,"Identical","TREE",NA,"CHIME","13",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Related"
"ONCE","slash",0.849645,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",21,3,"Identical","Related","BACK","FRONT",NA,"33",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Identical"
"PAIN","slash",0.696845,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"CLOSE","z",1.06711,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SHERIFF","slash",0.731695,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",15,1,"Identical","Identical","SHERIFF",NA,NA,"4","2","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"SMOOTH","slash",0.66612,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"GIRLS","z",0.63385,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PEPPER","slash",0.730855,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"NECK","slash",0.9002,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",41,1,NA,"Identical","PIECE",NA,NA,"9",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"SMART","slash",0.58456,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",23,3,NA,"Unrelated","THIEF",NA,NA,"18",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"STEAL","slash",0.732655,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Identical",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Identical"
"EXACT","slash",0.7147,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",21,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"DOCTOR","slash",0.597445,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",37,2,NA,"firstword","firstword",NA,NA,"1","10","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
"SHOVE","z",0.59864,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SOFT","slash",0.804815,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",41,3,NA,"Related","SERVANT","MAID","HARD","13",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"THANKS","z",0.5975,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",33,1,"Identical",NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"SPIT","z",1.165705,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",36,1,NA,NA,NA,NA,"SALIVA",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"KNIT","slash",1.13582,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",18,2,NA,NA,NA,NA,"YARN",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"STUPID","slash",0.835125,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",14,2,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"TOCK","slash",0.683255,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,"Studied",6,1,"Identical","Identical","DISAGREE",NA,NA,"7",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"DEVIL","z",0.796515,"EK",1,"2020-11-11_12h43.52.784","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
