DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePosition,PrimeLocation
,8007.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
HUNGER,7997.19,Studied,10,3,Identical,23,Identical,BRANCH,NA,NA,unrelated,,
BELOW,7996.35,Studied,18,2,Identical,NA,NA,NA,NA,NA,,,
LAND,8057.85,Studied,28,2,NA,12,Related,ACRE,LAND,ACRE,related,12,2
FROG,7992.1,Studied,39,2,NA,1,firstword,firstword,NA,NA,firstword,,
SORRY,8005.53,Studied,38,2,NA,18,Related,SOUND,NOISE,NA,unrelated,,
SOUP,7992.235,NA,NA,NA,NA,22,Identical,STATES,NA,NA,unrelated,,
NAVY,8003.63,Studied,20,3,NA,15,Unrelated,JACKET,NA,NA,unrelated,,
BALLET,8001.085,Studied,39,3,NA,5,Unrelated,STICKY,NA,NA,unrelated,,
,8021.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
QUANT,7994.52,NA,NA,NA,NA,21,Unrelated,HATE,NA,NA,unrelated,,
,79904.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,13.87999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,11.14000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,2.725000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,1.415000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,4.274999956,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,17.38000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,15.21500014,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,3.22500011,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MILE,5430.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ANIMAL,7983.965,Studied,11,4,Identical,NA,NA,NA,NA,NA,,,
GIRLS,8010.04,Studied,27,4,NA,1,firstword,firstword,NA,NA,firstword,,
SHARK,8013.21,Studied,3,4,NA,9,Related,HAND,FINGER,NA,unrelated,,
FIRS,7998.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
ENTER,7996.295,Studied,4,4,Identical,25,Identical,DOLLAR,NA,NA,unrelated,,
KILL,8017.545,Studied,13,2,NA,27,Unrelated,SPICE,NA,NA,unrelated,,
BEHIND,7997.72,Studied,24,4,Identical,16,Related,TROT,HORSE,NA,unrelated,,
TIGER,8009.065,Studied,20,4,NA,19,Unrelated,RENT,NA,LION,related,4,4
,7994.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7988.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
