"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"STRIPE","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"STAIRS","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,NA,NA,"STEPS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"EARLY","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",32,4,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"KILL","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",13,2,NA,"Unrelated","SPICE",NA,NA,"27","28","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"FLOWER","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",24,1,NA,"Unrelated","HEAD",NA,NA,"31",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"MOTHER","slash",2.079205,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",6,3,NA,"Unrelated","PROBLEM",NA,NA,"11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"LENGTH","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",13,1,NA,"Unrelated","GRAVE",NA,"WIDTH","33",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Related"
"HORSE","slash",2.02604,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",5,4,NA,NA,NA,NA,"TROT",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"WORK","slash",0.65051,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",22,1,"Identical","Identical","WEIGHT",NA,NA,"35",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"RIGHT","slash",0.494865,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",17,1,"Identical","Unrelated","BREAD",NA,NA,"32",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"WEIGHT","slash",0.59298,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",35,1,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"CANDLE","slash",0.61925,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",33,3,NA,NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"LAUGH","slash",0.4004,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SOAP","slash",0.56045,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",32,3,NA,NA,NA,NA,"ZEST",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PICKLE","slash",0.581665,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",23,1,"Identical","Unrelated","NIGHTS",NA,NA,"36",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Identical"
"SUPPER","slash",3.696965,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",15,3,NA,NA,NA,NA,"DINNER",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"DOOR","slash",0.58234,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",19,2,NA,"Identical","TRASH",NA,"HINGE","26,35",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Related"
"REPEAT","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"VOTE","slash",0.000775,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SHEETS","slash",2.475895,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",28,1,NA,"Related","YUCK","GROSS",NA,"25",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"NONE","slash",3.616215,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BLACK","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",8,2,NA,"Identical","MINOR",NA,NA,"7",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"CHURCH","slash",0.239045,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SELF","slash",0.225025,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"GUILT","",NA,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"TAKE","slash",0.842855,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"WORLD","slash",2.297225,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",17,2,NA,"Related","CROOK","THIEF",NA,"36",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"LAND","slash",0.540235,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",28,2,NA,"Related","ACRE","LAND","ACRE","12","5","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"STORY","slash",0.45184,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",36,1,NA,"Identical","DAGGER",NA,NA,"28",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"JEANS","slash",0.58939,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"FISH","slash",0.54125,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",8,1,NA,"Related","BROOK","STREAM","BAIT","11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Related"
"TOUCH","slash",0.63707,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CANCER","slash",0.72504,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",21,4,NA,"Identical","THROW",NA,NA,"20",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"NOSE","slash",0.477335,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",24,3,NA,"Identical","SLOW",NA,NA,"13",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"GAME","slash",0.622345,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"MONEY","slash",2.538455,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,"Studied",39,1,NA,"Identical","BEACH",NA,NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"SLEEP","slash",0.61228,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"ARMS","slash",1.22019,"GX",1,"2020-11-06_10h11.30.012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
