Participant,Prime,Prime_Duration,rt,Response
GX,SNAP,55.35499984,2104.81,XXXXX
GX,ERUPT,59.57999988,1966.09,XXXXX
GX,LYNX,69.46499995,8000.22,XXXXX
GX,VODKA,67.57000019,3223.985,XXXXX
GX,FAUNA,60.59999997,1970.49,XXXXX
GX,FOREST,67.87999999,4734.82,XXXXX
GX,TOTALLY,66.77999999,8001.38,XXXXX
GX,CHEER,56.47000019,7996.485,DEVI
GX,SPAN,90.41499998,7995.815,DEVIL
GX,SUIT,55.60999992,7989.36,LAND
GX,STARK,57.23499996,7994.195,XXXXX
GX,UNEASY,68.57499992,8005.03,XXXXX
GX,RESUME,52.7199998,8003.35,XXXXX
GX,EFFIGY,51.98999983,8006.98,XXXXX
GX,OPTION,67.84499995,7997.3,XXXXX
GX,REACTOR,63.83000012,8005.665,XXXXX
GX,CHEAT,62.81000003,8005.93,XXXXX
GX,FLAK,58.01500008,7995.36,XXXXX
GX,HOSTEL,63.43999994,7994.435,XXXXX
GX,SPUNK,65.44000003,7991.275,XXXXX
GX,FREAK,65.82499994,7997.43,MOST
GX,PIAZZA,55.41500007,21474.81,XXXXX
GX,MIDLAND,220.2650001,7997.2,XXXXX
GX,MEET,67.10499991,31283.6,XXXXX
GX,DAMAGE,0.544999959,2.55500013,XXXXX
GX,KEEP,94.10500014,8004.88,XXXXX
GX,CEASE,60.71000011,49804.81,XXXXX
GX,LEND,1.119999913,1.285000006,XXXXX
GX,CLAW,17.95499981,0.849999953,XXXXX
GX,VOID,64.92500007,11.12499996,XXXXX
GX,WIND,0.415000133,0.779999886,XXXXX
GX,SHAVE,0.754999928,1.605000114,XXXXX
GX,MORAL,0.829999801,1.970000099,XXXXX
GX,PEEP,0.655000098,3.410000121,XXXXX
GX,TRAITOR,0.770000042,3.200000152,XXXXX
GX,TRIVIA,0.724999933,2.89000012,XXXXX
GX,SPUN,1.170000061,24.22500006,XXXXX
GX,CORNER,6.904999958,1.184999943,XXXXX
GX,MUZZLE,0.569999916,4.035000224,XXXXX
GX,PULL,6.440000143,1.090000151,XXXXX
