DelayedWord,DelayedRT
TREE,1927.27
DESERT,1432.875
SHIP,1751.405
LOV,865.78
LOVE,867.33
LAUGH,1165.8
BELL,4443.365
STUPID,2265.565
DOCTOR,1399.575
KNIFE,983.005
DEATH,1583.475
CHILD,1048.54
SWING,1050.035
VOLCANO,2116.97
ROPE,900.03
BEST,5550.485
YOUNG,3241.015
SHERIFF,1566.295
JACKET,8002.15
FOOD,2606.535
LETTUCE,1715.88
MAID,2715.835
OVEN,1332.965
NINE,1185.605
CAKE,1133.815
RAIN,3183.94
SILK,3132.9
SMOOTH,3701.755
CATCH,6650.225
SWORD,6517.335
STORE,3199.365
GAME,1315.29
BREAK,1366.29
,7999.86
VOTE,900.01
LETTER,1266.505
WRITE,933.16
PEN,816.38
FIND,4150.095
DRESS,1237.2
,8000.795
HELP,6073.69
STRETCH,3886.68
MILK,7170.72
BREAD,916.7800001
SMELL,8001.26
CHURCH,5584.115
,8000.855
,8000.68
BALL,3916.37
SWING,1216.325
PLAY,6717.035
CHILD,1048.72
STAY,6001.235
,8001.245
,8000.955
,8000.125
,7999.19
JOKE,5502.81
,8000.775
GUILT,4509.11
B,7999.19
BLANK,2585.105
SOUR,5588.84
YEAR,1034.04
STREET,2401.135
,7993.1
,8000.59
,10366.125
,7988.33
SHOOT,7991.805
SING,6290.53
CHOIR,5399.27
,7999.74
,7990.68
DRILL,6790.92
TOOL,1432.16
,8000.85
SHOP,2473.055
CHOOSE,1999.565
,8001.23
,7998.325
,7999.18
,7999.72
,8003.215
,8001.805
DUMB,2382.595
GONE,4133.19
STAMP,7989.63
,7999.81
,8000.86
,8013.56
,8001.795
,8002.425
,7999.3
,7991.985
TRUST,1948.785
STICKY,2766.42
SWEAT,3549.625
,8000.16
