RecalledWord,StudyPosition,Block
SHIP,1,1
VOLCANO,2,1
SWORD,3,1
HEAR,4,1
HAPPY,5,1
STREET,6,1
YEAR,7,1
PROBLEM,8,1
HAIR,9,1
SOUR,10,1
BOARD,11,1
TAKE,12,1
TALK,13,1
JACKET,14,1
MAGIC,15,1
LAUGH,16,1
STRANGE,17,1
WARM,18,1
ROOF,19,1
MUSIC ,20,1
NONE,21,1
MAYBE,22,1
SMELL,23,1
CHURCH,24,1
STICKY,25,1
DESERT,26,1
CHOOSE,27,1
BREAK,28,1
BELL,29,1
TREE,30,1
LOVE,31,1
GAME,32,1
LETTUCE,33,1
STORE,34,1
CLEAR,35,1
LOSE,36,1
FOOD,37,1
SING,38,1
DRESS,39,1
COLLECT,40,1
SICK,41,1
FIND,42,1
PIECE,1,2
DRAW,2,2
CHILD,3,2
KNIFE,4,2
BUSH,5,2
DISAGREE,6,2
NECK,7,2
HATE,8,2
SHERIFF,9,2
YOUNG,10,2
VOTE,11,2
REAL,12,2
THANKS,13,2
EXCUSE,14,2
STRIPE,15,2
TRAILER,16,2
PURPOSE,17,2
SLIDE,18,2
MANY,19,2
SCISSORS,20,2
ANNOY,21,2
TOCK,22,2
SHALLOW,23,2
CLOWN,24,2
POTATO,25,2
RENT,26,2
CARD,27,2
QUIET,28,2
SILVER,29,2
DRUGS,30,2
THIN,31,2
PACKAGE,32,2
SAME,33,2
PLANE ,34,2
MARRY,35,2
TOOL,36,2
RAIN,37,2
STAMP,38,2
EXACT,39,2
WRONG,40,2
DEATH,41,2
SPIT,42,2
EXPLODE,1,3
RULE,2,3
TOUCH,3,3
REPEAT,4,3
ROSE,5,3
BABY,6,3
BIKE,7,3
KNIT,8,3
GRAVE,9,3
NIGHTS,10,3
SELF,11,3
WRITE,12,3
TOWN,13,3
STUPID,14,3
SPOTS,15,3
FAKE,16,3
STRESS,17,3
MATH,18,3
CLIMB,19,3
TOOTH,20,3
MILK,21,3
BREAD,22,3
WOOD,23,3
STEAL,24,3
UNDER,25,3
STING,26,3
BRAIN,27,3
SUBJECT,28,3
DOCTOR,29,3
LIGHT,30,3
HEAD,31,3
SHEEP,32,3
CLASS,33,3
ARMS,34,3
CELL,35,3
PENNY,36,3
SHIRT,37,3
SKIN,38,3
MOVE,39,3
PROPER,40,3
GRAND,41,3
GUILT,42,3
BALL ,1,4
FIRE,2,4
UNCLEAR,3,4
MINIMUM,4,4
LETTER,5,4
SOFT,6,4
PLAN,7,4
CASTLE,8,4
SMALL,9,4
SMART,10,4
SPICE,11,4
HELLO,12,4
EFFECT,13,4
GLASSES,14,4
ITCH,15,4
BANK,16,4
WANT,17,4
PRIDE,18,4
OVEN,19,4
NINE,20,4
MAID,21,4
CAKE,22,4
TIRED,23,4
ENGLISH,24,4
SURE,25,4
SNEEZE,26,4
BOSS,27,4
PENCIL,28,4
SILK,29,4
CARRY,30,4
FINISH,31,4
PAPER,32,4
MONKEY,33,4
WATER,34,4
COPY,35,4
JEANS,36,4
ONCE,37,4
ALLOW,38,4
MAD,39,4
SLEEP,40,4
FRONT,41,4
LARGE,42,4
