Participant,Prime,Prime_Duration,rt,Response
HB,MUZZLE,66.40000001,5536.395,MUZZLE
HB,TRAITOR,67.58999999,4370.32,MUZZLE
HB,VOID,66.35500002,2291.865,LED
HB,ERUPT,65.45500003,1469.44,ERUPT
HB,PIAZZA,66.94500009,1400.15,PLAZA
HB,SPUNK,66.63499994,2421.13,SPANK
HB,KEEP,52.43499996,2017.895,SPIT
HB,MIDLAND,66.735,1384.895,MIDDLE
HB,SUIT,66.98,1002.91,SUIT
HB,VODKA,65.53500006,1209.84,VODKA
HB,REACTOR,67.82500003,1532.41,REACT
HB,PULL,66.64500001,1349.36,TELL
HB,SPUN,66.62000006,1984.88,SPUN
HB,SPAN,66.71000004,988.81,XXXXX
HB,LYNX,67.41000002,2401.025,LIST
HB,CHEER,65.46499999,1184.64,CHEER
HB,FOREST,66.80499995,1682.77,FOREST
HB,CEASE,70.99000004,749.295,SEAL
HB,MEET,66.41500001,982.86,MEAL
HB,FREAK,66.59499998,1463.435,FREAK
HB,SNAP,66.53000007,841.4650001,SNAP
HB,SHAVE,66.41000009,1066.355,SHAVE
HB,UNEASY,66.82499999,2184.33,UNEASY
HB,WIND,57.3000001,946.025,WIND
HB,TOTALLY,66.8400001,1186.815,TOTALLY
HB,PEEP,62.12999998,1602.19,PEPPER
HB,EFFIGY,67.20000005,1129.68,FIGURE
HB,CORNER,66.06500002,1554.23,XXXXX
HB,CLAW,66.73000008,1053.945,CLAW
HB,CHEAT,67.57000007,1441.095,FEAST
HB,STARK,67.32999999,1333.11,STEAK
HB,FLAK,67.05499999,1642.25,TELL
HB,MORAL,66.53999991,1135.12,MORAL
HB,FAUNA,67.56499992,1065.94,FLORA
HB,TRIVIA,65.405,1115.27,TRAVEL
HB,HOSTEL,66.63999998,1600.65,LIST
HB,OPTION,66.80000003,1067.005,OPTION
HB,RESUME,66.83500006,293.04,XXXXX
HB,DAMAGE,66.5950001,958.925,IMAGE
HB,LEND,67.01,1086.12,SEND
