DelayedWord,DelayedRT
STEAL,6019
DRUGS,1475
MEAN,1127
FOO,899
HAPPY,2361
LONG,1877
DARK,868
MEAN,1299
KEY,905
LEGS,1206
ORANGE,2411
FORK,1703
CHAIR,1668
STRIDE,2471
PRIDE,843
,2135
SHIRT,6310
,306
,276
,243
,232
,234
,258
,243
,91
TREE,1528
,283
CAR,755
,66
,259
,21
,105
,54
,326
,167
,210
BUILDING,4300
,149
,68
,277
,341
SCHOOLP,1625
,151
,117
,161
,128
,115
,219
,94
,133
,164
,250
,208
,246
,83
,101
,51
,109
,16
,276
,162
,278
,23
,168
,38
,39
,127
,163
,105
,177
,109
,101
,576
,316
,117
,118
,199
,326
,100
,393
,317
,81
,113
,367
,378
,491
,494
,329
,326
,352
,301
,276
,286
,876
,352
,333
,311
,301
,277
,361
