Participant,Prime,Prime_Duration,rt,Response
JG,STARK,67.20500009,4716.095,  
JG,LEND,64.21999994,2833.08,LENDS
JG,ERUPT,66.57500006,2398.86,INTERRUPT
JG,SPUNK,68.50500009,1031.685,XXXXX
JG,SPAN,66.55999995,1199.895,SPAN
JG,LYNX,66.91500009,1448.72,LYNX
JG,SPUN,66.46999996,1317.49,SPUN
JG,EFFIGY,65.83500002,3150.25,SPIFFY
JG,UNEASY,66.50000007,1216.875,EASY
JG,MIDLAND,67.41500006,1799.935,MIDDLE
JG,HOSTEL,66.60499994,1732.835,STEAL
JG,KEEP,68.17500002,2884.865,KEEP
JG,TOTALLY,72.29000004,2350.37,TOTALLY
JG,CHEER,66.22000004,2817.7,ORDEAL
JG,MORAL,67.41999998,1282.75,MORAL
JG,CHEAT,66.72,1332.965,CHEAT
JG,SNAP,66.34999998,1149.865,SNAP
JG,PIAZZA,66.55500003,1566.185,PIZZA
JG,SUIT,74.53500002,1231.62,SUIT
JG,FREAK,66.66000001,2833.27,FREAK
JG,OPTION,66.28999999,951.27,DEP
JG,MEET,65.56499994,1482.67,STREET
JG,MUZZLE,66.765,1683.09,MUZZLE
JG,VOID,66.1099999,1598.42,AVOID
JG,CORNER,66.72999996,1432.175,CORNER
JG,PEEP,67.54000008,1549.45,PEEP
JG,CLAW,68.01999989,1733.235,CLAW
JG,WIND,68.89500003,834.275,WIND
JG,DAMAGE,66.67499989,1116.355,DAMAGE
JG,TRAITOR,72.06499996,1583.585,TRAITOR
JG,SHAVE,65.30499994,1117.26,SHAVE
JG,PULL,65.52999991,1231.875,PULSE
JG,FLAK,66.60500006,1233.875,FLUID
JG,VODKA,65.70000004,1082.7,VODKA
JG,REACTOR,66.93500001,1049.22,BREAK
JG,FOREST,73.83500005,915.15,FOREST
JG,TRIVIA,66.81999995,2368.58,TRIVIA
JG,FAUNA,66.98999996,933.1800001,FAUN
JG,RESUME,67.21000001,1234.085,REASON
JG,CEASE,66.70999993,2566.415,INCREASE
