RecalledWord,StudyPosition,Block
GRASS,1,1
EARLY,2,1
FENCE,3,1
PLANT,4,1
ROCK,5,1
DOLLAR,6,1
BEFORE,7,1
CORAL,8,1
SHORT,9,1
QUEEN,10,1
THROW,11,1
MINUTE,12,1
LEMON,13,1
FOUND,14,1
CLOSE,15,1
SHARK,16,1
PHONE,17,1
QUART,18,1
TIGER,19,1
FINGER,20,1
MUSCLE,21,1
TEETH,22,1
CLOCK,23,1
PEPPER,24,1
GIRLS,25,1
WORST,26,1
MINUS,27,1
UNCLE,28,1
MEAN,29,1
CANCER,30,1
YOURS,31,1
ENTER,32,1
OFFICE,33,1
THERE,34,1
ANIMAL,35,1
BEHIND,36,1
SPOON,37,1
LEAVES,38,1
SHOVE,39,1
HORSE,40,1
WHERE,41,1
WHOLE,42,1
EGGS,1,2
NEPHEW,2,2
HORN,3,2
BIRD,4,2
SONG,5,2
STORY,6,2
SELLER,7,2
CHANGE,8,2
WEST,9,2
YELLOW,10,2
BEACH,11,2
RIGHT,12,2
GUITAR,13,2
GROSS,14,2
JAIL,15,2
LAWYER,16,2
TWELVE,17,2
FLOWER,18,2
MONEY,19,2
CLAM,20,2
FISH,21,2
ORANGE,22,2
STREAM,23,2
SHEETS,24,2
CHEESE,25,2
OUTTAKE,26,2
LENGTH,27,2
PICKLE,28,2
STAIRS,29,2
CHAIR,30,2
FRIGHT,31,2
DAGGER,32,2
WORK,33,2
NUMBER,34,2
GLORY,35,2
BOMB,36,2
CRACKER,37,2
DREAM,38,2
WEIGHT,39,2
SMOOTH,40,2
STOP,41,2
NICKEL,42,2
PICTURE,1,3
BRIDE,2,3
WHEAT,3,3
CAMP,4,3
MINOR,5,3
LAKE,6,3
SORRY,7,3
FROG,8,3
FIVE,9,3
PRESENT,10,3
DEAF,11,3
SWAMP,12,3
SHOES,13,3
JUMP,14,3
BELOW,15,3
STARS,16,3
TRAIN,17,3
DIRT,18,3
KISS,19,3
SWEET,20,3
LEARN,21,3
THIEF,22,3
WORLD,23,3
TRASH,24,3
HOOP,25,3
DOOR,26,3
GEEK,27,3
DEVIL,28,3
ROAD,29,3
SOUTH,30,3
LAND,31,3
SMOKE,32,3
STOMACH,33,3
NOISE,34,3
TIGHT,35,3
BLACK,36,3
HOTEL,37,3
POUND,38,3
GHOST,39,3
KILL,40,3
DUSK,41,3
SMILE,42,3
WILD,1,4
FIRST,2,4
STATES,3,4
SOAP,4,4
MOST,5,4
PURPLE,6,4
BALLET,7,4
SUPPER,8,4
BRANCH,9,4
MOTHER,10,4
ALIVE,11,4
VERB,12,4
NEWS,13,4
SQUARE,14,4
INHALE,15,4
LESS,16,4
NAVY,17,4
BORROW,18,4
TEST,19,4
CLUE,20,4
THREAD,21,4
WINTER,22,4
BUTTER,23,4
HUNGER,24,4
MIDDLE,25,4
KIDNAP,26,4
LOOK,27,4
CHAIN,28,4
CANDLE,29,4
SLOW,30,4
WAITER,31,4
PAIN,32,4
TOUR,33,4
BUCKET,34,4
SEEK,35,4
ARGUE,36,4
TOES,37,4
NOSE,38,4
READ,39,4
TENNIS,40,4
SPIDER,41,4
THIRST,42,4
