"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"SMELL","z",1.397,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,"Studied",27,2,"Identical","Identical","SMELL",NA,NA,"38",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"DOOR","z",1.782,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"LOOK","z",1.415,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"LEAVES","slash",1.367,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"PLAN","",NA,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,"Studied",30,1,"Identical","Identical","PLAN",NA,NA,"42",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"SPOON","slash",1.866,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"HATE","slash",3.849,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,"Studied",41,3,NA,"Identical","BELL",NA,NA,"16",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"SHOVE","z",2.649,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"STORY","z",1.365,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GUITAR","z",1.216,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BEHIND","z",1.832,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"THIEF","z",1.164,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TOWN","slash",1.314,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,"Studied",42,4,NA,"firstword","firstword",NA,NA,"1,11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
"NEPHEW","z",1.461,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"CHAIR","z",1.281,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,NA,NA,NA,NA,"Related","GORILLA","MONKEY",NA,"36",NA,"New","New",0,0,0,1,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"CASTLE","slash",0.966,"JR",1,"2020-11-07_16h32.34.628","DelayedExp","2020.1.3",60,"Studied",20,1,NA,"Identical","COPY",NA,NA,"25,30","55","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
