DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePositino,PrimeBlock
DREAM,1816.94,Studied,11,2,NA,5,Unrelated,BREAD,NA,NA,unrelated,,
DOOR,1150.68,Studied,2,3,NA,2,Related,CROOK,THIEF,NA,unrelated,,
ROAD,2451.58,Studied,6,3,NA,6,Identical,BELOW,NA,NA,unrelated,,
TRAIN,1484.82,Studied,7,3,NA,42,Unrelated,MAD,NA,CABOOSE,related,9,3
HOOP,2368.305,Studied,4,3,NA,4,Identical,WHEAT,NA,NA,unrelated,,
SMILE,1017.635,Studied,3,3,NA,3,Related,DAWN,DUSK,NA,unrelated,,
SORRY,1884.55,Studied,5,3,NA,5,Unrelated,ITCH,NA,NA,unrelated,,
SWAMP,2902.33,Studied,13,3,NA,12,Unrelated,SILK,NA,NA,unrelated,,
BRIDE,1550.71,Studied,17,3,NA,14,Related,POND,LAKE,NA,unrelated,,
TIGHT,3519.285,Studied,16,3,NA,13,Related,CIGAR,SMOKE,NA,unrelated,,
LAKE,2033.84,Studied,40,3,NA,30,Unrelated,COPY,NA,POND,related,14,3
LAND,850.46,Studied,41,3,Identical,29,Related,GIFT,PRESENT,NA,identical,26,3
ORANGE,5271,Studied,22,2,NA,13,Unrelated,HEAD,NA,NA,unrelated,,
YELLO,1049.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
YELLOW,1467.635,Studied,12,2,NA,2,Identical,GROSS,NA,NA,unrelated,,
FISH,800.38,Studied,2,2,NA,3,Identical,NEPHEW,NA,NA,unrelated,,
CORAL,3319.12,Studied,14,1,NA,18,Related,FORK,SPOON,NA,unrelated,,
CLOCK,2634.665,Studied,12,1,NA,16,Related,FLEX,MUSCLE,NA,unrelated,,
EARLY,1000.48,Studied,35,1,NA,NA,NA,NA,NA,LATE,,,
HORN,3036.045,Studied,4,2,Identical,33,Related,INMATE,JAIL,NA,identical,32,2
GUITAR,1382.995,Studied,5,2,NA,8,Related,SAND,BEACH,NA,unrelated,,
OFFICE,2384.855,Studied,16,1,NA,NA,NA,NA,NA,POST,,,
WORK,1934.705,Studied,1,2,NA,6,Unrelated,FAKE,NA,NA,unrelated,,
LEMON,1333.875,Studied,17,1,NA,20,Unrelated,KNIFE,NA,NA,unrelated,,
BIRD,1601.005,Studied,20,2,NA,NA,NA,NA,NA,PARROT,,,
FRIGHT,1800.985,Studied,26,2,NA,16,Related,ALTER,CHANGE,NA,unrelated,,
OUTTAKE,3319.47,Studied,23,2,NA,25,Related,STEPS,STAIRS,NA,unrelated,,
DAGGAR,3501.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CLAM,1954.725,Studied,31,2,NA,21,Unrelated,STRESS,NA,NA,unrelated,,
CRACKER,1884.575,Studied,27,2,NA,15,Identical,GLORY,NA,NA,unrelated,,
FLOWER,1584.345,Studied,17,2,NA,10,Unrelated,BRAIN,NA,NA,unrelated,,
NEPHEW,2151.025,Studied,19,2,Identical,12,Related,BACON,EGGS,NA,unrelated,,
UNCLE,1033.95,Studied,3,1,Identical,13,Identical,DOLLAR,NA,NA,identical,10,1
CAMP,1667.98,Studied,35,3,Identical,24,Related,MUTE,DEAF,NA,identical,11,3
WHEAT,1967.92,Studied,34,3,Identical,23,Identical,WORLD,NA,NA,identical,4,3
DEVIL,1317.51,Studied,9,3,NA,8,Identical,SWEET,NA,NA,unrelated,,
THEIF,1367.775,NA,NA,NA,NA,9,Related,CABOOSE,TRAIN,NA,related,2,3
KILL,1000.69,Studied,14,3,Identical,11,Identical,CAMP,NA,NA,identical,7,3
KISS,1417.27,Studied,30,3,NA,21,Identical,SOUTH,NA,NA,unrelated,,
FROG,1034.085,Studied,23,3,NA,19,Identical,PICTURE,NA,NA,unrelated,,
TRASH,4353.645,Studied,38,3,NA,27,Related,SKIP,JUMP,NA,unrelated,,
PILE,1133.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
THERE,1300.475,Studied,8,1,NA,9,Unrelated,VOTE,NA,NA,unrelated,,
EARLY,1417.68,Studied,35,1,NA,NA,NA,NA,NA,LATE,,,
MINUTE,1934.605,Studied,36,1,Identical,NA,NA,NA,NA,NA,,,
SPOON,2651.81,Studied,39,1,NA,30,Identical,SHORT,NA,FORK,related,18,1
CANCER,1400.825,Studied,38,1,NA,29,Unrelated,MANY,NA,TUMOR,related,25,1
CHAIR,7205.045,Studied,7,2,NA,7,Unrelated,STING,NA,NA,unrelated,,
LAWYER,3769.06,Studied,13,2,NA,9,Identical,MONEY,NA,NA,unrelated,,
DINNER,3902.93,NA,NA,NA,Related,"3,35",Unrelated,LETTUCE,NA,NA,unrelated,,
WAITER,1467,Studied,21,4,NA,14,Identical,NAVY,NA,NA,unrelated,,
MOTHER,2234.885,Studied,24,4,Identical,12,Unrelated,COLLECT,NA,NA,identical,8,4
READ,1250.72,Studied,34,4,NA,24,Related,FAST,SLOW,BOOK,related,15,4
VERB,1284.345,Studied,35,4,NA,25,Identical,LESS,NA,NOUN,related,16,4
SQUARE,1901.285,Studied,29,4,NA,18,Related,HINT,CLUE,CIRCLE,related,5,4
CANDLE,1600.95,Studied,31,4,NA,20,Identical,KIDNAP,NA,NA,unrelated,,
BUCKET,1351.025,Studied,30,4,NA,19,Unrelated,LOSE,NA,NA,unrelated,,
TENNIS,1550.935,Studied,4,4,NA,4,Unrelated,CLEAR,NA,NA,unrelated,,
BALLET,1250.94,Studied,16,4,NA,5,Related,CIRCLE,SQUARE,NA,unrelated,,
HUNGRY,2601.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
WINTER,1167.105,Studied,37,4,Identical,30,Unrelated,FIND,NA,NA,identical,23,4
MIDDLE,1134.275,Studied,36,4,Identical,29,Unrelated,MAGIC,NA,NA,identical,17,4
PURPLE,2401.515,Studied,18,4,NA,22,Related,ZEST,SOAP,NA,unrelated,,
NAVY,1968.275,Studied,39,4,Identical,23,Identical,WINTER,NA,NA,identical,14,4
CLOWN,3819.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BELOW,5503.5,Studied,37,3,Identical,NA,NA,NA,NA,NA,,,
BEFORE,2534.455,Studied,21,1,NA,NA,NA,NA,NA,AFTER,,,
YOURS,1718.215,Studied,20,1,Identical,10,Identical,UNCLE,NA,NA,identical,3,1
QUEEN,2935.075,Studied,28,1,NA,11,Identical,WHOLE,NA,KING,related,5,1
