participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,STREET,2969.475,firstword,firstword,,1,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,RIGHT,1717.94,BROOK,Related,68.405,2,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,CHAIR,882.705,STING,Unrelated,66.65999998,3,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,TWELVE,1171.185,WORK,Identical,66.00999998,4,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.45,SWISS,Related,66.445,5,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,PICKLE,8003.145,CRACKER,Identical,66.07999999,6,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.315,SCARE,Related,66.315,7,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.76,REPEAT,Unrelated,66.43000001,8,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,EASY,6988.16,EGGS,Identical,67.24,9,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8001.825,BIRD,Identical,67.06999999,10,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.42,MONEY,Identical,65.45499997,11,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.315,OUTTAKE,Identical,65.41499999,12,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,LETTER,2717.81,ARMS,Unrelated,65.13500001,13,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.89,CLASS,Unrelated,66.44499997,14,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,   ,8003.175,TULIP,Related,66.17000001,15,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8000.525,NEPHEW,Identical,67.025,16,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,KEEP,6020.125,TALE,Related,71.18999999,17,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.34,STOP,Identical,66.93999999,18,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.17,SAND,Related,64.92,19,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.415,GROSS,Identical,66.035,20,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.52,DOCTOR,Unrelated,64.77499998,21,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.69,EXPLODE,Unrelated,66.11500002,22,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.52,BABY,Unrelated,66.635,23,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.235,NICKEL,Identical,66.02500001,24,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.6,PEEL,Related,66.43000001,25,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8005.62,MELLOW,Related,65.80499999,26,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.825,TOWN,Unrelated,52.31499998,27,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8286.45,SPOTS,Unrelated,65.71,28,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8024.625,CHOWDER,Related,65.26999999,29,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.085,GRAVE,Unrelated,66.40500002,30,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.53,TOOTH,Unrelated,65.84,31,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.47,ATOM,Related,66.46,32,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7991.13,CHANGE,Identical,65.29,33,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.92,WRITE,Unrelated,66.23500001,34,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8006.06,SUBJECT,Unrelated,67.21499999,35,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.795,SCALE,Related,66.62,36,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.555,WOOD,Unrelated,52.1,37,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.385,MATH,Unrelated,65.975,38,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.555,GLORY,Identical,52.46500002,39,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.01,WEST,Identical,64.94500002,40,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.77,BREAD,Unrelated,66.30500001,41,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.825,LENGTH,Identical,66.38999999,42,1
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,KEEP ,2757.11,firstword,firstword,,1,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,FIVE,1052.17,SPICE,Unrelated,65.72000001,2,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,LEARN,2602.195,MUTE,Related,66.135,3,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,BLACK,1188.965,SMALL,Unrelated,51.81,4,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,DOOR,1070.2,PRIDE,Unrelated,66.20499998,5,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,KEEP,5087.065,CIGAR,Related,67.19,6,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.435,SOIL,Related,51.75000001,7,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.01,MARSH,Related,66.07,8,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.66,SMILE,Identical,66.915,9,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7988.135,POUND,Identical,66.51999999,10,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.46,SOUTH,Identical,65.46499999,11,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7992.4,CROOK,Related,81.16499998,12,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.93,DUSK,Identical,66.085,13,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7991.44,ALLOW,Unrelated,65.62500002,14,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.33,HOTEL,Identical,67.92,15,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.735,TIRED,Unrelated,51.99500002,16,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.04,BOSS,Unrelated,66.80999999,17,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8034.51,WANT,Unrelated,65.57000001,18,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.65,GEEK,Identical,65.21499998,19,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.135,GIFT,Related,65.08500001,20,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8001.915,ONCE,Unrelated,66.65999998,21,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8004.355,SHOES,Identical,66.345,22,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8035.385,MAID,Unrelated,65.455,23,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8002.71,SOFT,Unrelated,67.26000001,24,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7992.32,PLAN,Unrelated,66.09000001,25,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7992.47,CAMP,Identical,67.64999998,26,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,8003.21,LAKE,Identical,64.95500001,27,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7996.19,GRAIN,Related,68.55499998,28,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,3992.335,LOOSE,Related,66.01000001,29,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,301.465,CASTLE,Unrelated,66.11499999,30,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,500.31,SOUND,Related,66.41500001,31,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,332.65,SURE,Unrelated,66.23500001,32,2
LL,1,2020-11-04_15h01.56.771,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,320.27,LIPS,Related,66.64500001,33,2
