Participant,Prime,Prime_Duration,rt,Response
NE,CHEER,65.65,8000.72,XXXXX
NE,DAMAGE,67.44500005,7998.335,DAMAGE
NE,SPUNK,65.42999996,7999.175,XXXXX
NE,CHEAT,67.03999999,7999.415,CHEAT
NE,TOTALLY,66.05999998,8000.24,TOTALLY
NE,MORAL,65.15500008,8000.7,MORAL
NE,CORNER,66.95499993,8000.005,CORNER
NE,SPUN,66.28000003,8000.855,SPUN
NE,PIAZZA,67.21500005,7999.375,PIZZA
NE,FREAK,66.14999997,7999.38,FREAK
NE,STARK,66.40499993,7999.635,SHARK
NE,LYNX,66.33499998,8000.64,LYNX
NE,TRIVIA,65.13500004,7999.64,TRIVIA
NE,SPAN,49.48000005,7999.94,XXXXX
NE,SNAP,66.28499995,7998.89,SNAPS
NE,UNEASY,65.45499992,8002.18,UNEASY
NE,CEASE,66.40000001,7998.84,XXXXX
NE,HOSTEL,65.94999996,7998.895,HOTEL
NE,MIDLAND,66.32500002,7999.565,XXXXX
NE,FOREST,66.31000002,8000.86,FOREST
NE,KEEP,49.32500003,8000.76,XXXXX
NE,SUIT,66.26500003,7999.475,SUIT
NE,VODKA,66.53999991,7998.755,XXXXX
NE,ERUPT,66.62000006,7999.5,ERUPT
NE,FLAK,66.28499995,7998.105,FLAKE
NE,WIND,65.26000006,8005.285,WIND
NE,MEET,66.995,7997.67,MEET
NE,CLAW,82.345,7999.655,CLAW
NE,TRAITOR,64.98999998,7999.41,TRAITOR
NE,EFFIGY,65.38000004,8000.15,XXXXX
NE,VOID,100.32,8000.01,VOID
NE,FAUNA,65.99499995,8296.37,FAWN
NE,REACTOR,1.730000018,7997.545,XXXXX
NE,MUZZLE,50.66499999,7997.965,G
NE,SHAVE,66.01499999,7999.755,SHAVE
NE,PEEP,67.22000008,8001.595,DEEP
NE,RESUME,66.38000009,7998.645,XXXXX
NE,LEND,64.87999996,7999.84,LEND
NE,PULL,64.99500002,7999.485,PULL
NE,OPTION,66.66500005,7999.875,XXXXX
