DelayedWord,DelayedRT
KILL,5599.2
MOTHER,7999.72
EARTH,8000.015
KIDNAPPED,8000.5
,8000.175
,7999.98
CLAM,8000.225
BLACK,7998.855
KNIFE,7999.515
,8000.83
,7999.97
,7999.275
,7999.325
FOREST,8000.925
,7999.095
,7999.97
,8000.585
,8000.455
,8000.2
,7999.055
,8000.785
,8000.015
FIGURE,7999.02
,8000.52
FLOWER,7999.525
,8001.065
TAKE,8000.62
,7999.465
,7998.945
,7999.07
,8000.07
LAKE,7998.945
,8000.225
,7999.285
DDDDDDDDDDDDDD,7999.195
,7998.835
,8000.695
NIGHT,7999.82
DARK,8001.045
,8000.15
,8000.99
,7999.32
,7999.595
,7999.3
,8000.04
,7998.935
,8002.315
,7999.1
,7999.51
,8000.945
,7998.9
,7999.49
,7999.115
,7999.715
,8000.745
,7999.5
,7999.36
,7991.3
,7999.135
,7999.255
,8000.335
,8000.145
,7999.795
,7998.975
,7999.22
,8002.675
,7998.76
,8000.7
,7999.84
,7998.61
,433.325
