RecalledWord,StudyPosition,Block
HAPPY,1,1
JACKET,2,1
SHIP,3,1
SOUR,4,1
NONE,5,1
BOARD,6,1
BELL,7,1
DRESS,8,1
GAME,9,1
SWORD,10,1
TALK,11,1
LETTUCE,12,1
HAIR,13,1
WARM,14,1
SMELL,15,1
FOOD,16,1
SICK,17,1
DESERT,18,1
TREE,19,1
CLEAR,20,1
MAGIC,21,1
CHOOSE,22,1
YEAR,23,1
ROOF,24,1
STREET,25,1
TAKE,26,1
FIND,27,1
BREAK,28,1
PROBLEM,29,1
CHURCH,30,1
HEAR,31,1
LAUGH,32,1
VOLCANO,33,1
LOVE,34,1
STRANGE,35,1
STORE,36,1
LOSE,37,1
MAYBE,38,1
MUSIC ,39,1
STICKY,40,1
SING,41,1
COLLECT,42,1
WRONG,1,2
CLOWN,2,2
YOUNG,3,2
TOOL,4,2
DISAGREE,5,2
SHERIFF,6,2
THIN,7,2
MANY,8,2
PIECE,9,2
DRUGS,10,2
BUSH,11,2
SILVER,12,2
REAL,13,2
QUIET,14,2
SPIT,15,2
HATE,16,2
KNIFE,17,2
PLANE ,18,2
SLIDE,19,2
PURPOSE,20,2
STRIPE,21,2
MARRY,22,2
TOCK,23,2
DEATH,24,2
RENT,25,2
STAMP,26,2
SCISSORS,27,2
EXACT,28,2
CARD,29,2
DRAW,30,2
PACKAGE,31,2
NECK,32,2
TRAILER,33,2
RAIN,34,2
ANNOY,35,2
SHALLOW,36,2
POTATO,37,2
VOTE,38,2
CHILD,39,2
THANKS,40,2
EXCUSE,41,2
SAME,42,2
PROPER,1,3
CLIMB,2,3
SHEEP,3,3
EXPLODE,4,3
MOVE,5,3
MILK,6,3
WOOD,7,3
LIGHT,8,3
SELF,9,3
NIGHTS,10,3
STING,11,3
SPOTS,12,3
KNIT,13,3
CELL,14,3
TOWN,15,3
RULE,16,3
PENNY,17,3
STUPID,18,3
GRAND,19,3
ARMS,20,3
TOUCH,21,3
STRESS,22,3
DOCTOR,23,3
HEAD,24,3
CLASS,25,3
STEAL,26,3
SKIN,27,3
SUBJECT,28,3
TOOTH,29,3
GRAVE,30,3
ROSE,31,3
GUILT,32,3
BIKE,33,3
BABY,34,3
MATH,35,3
FAKE,36,3
UNDER,37,3
WRITE,38,3
BRAIN,39,3
BREAD,40,3
REPEAT,41,3
SHIRT,42,3
HELLO,1,4
PAPER,2,4
PRIDE,3,4
PENCIL,4,4
UNCLEAR,5,4
GLASSES,6,4
SMART,7,4
MINIMUM,8,4
SPICE,9,4
SOFT,10,4
WANT,11,4
SILK,12,4
MAID,13,4
WATER,14,4
SLEEP,15,4
ONCE,16,4
BALL ,17,4
COPY,18,4
SNEEZE,19,4
FINISH,20,4
OVEN,21,4
PLAN,22,4
ITCH,23,4
LETTER,24,4
TIRED,25,4
ENGLISH,26,4
CASTLE,27,4
SMALL,28,4
LARGE,29,4
CAKE,30,4
MONKEY,31,4
FRONT,32,4
MAD,33,4
JEANS,34,4
SURE,35,4
CARRY,36,4
BANK,37,4
ALLOW,38,4
NINE,39,4
EFFECT,40,4
BOSS,41,4
FIRE,42,4
