DelayedWord,DelayedRT
ROSE,2518.155
LOVE,1284.58
GRAVE,1701.21
TREE,7991.185
,7989.415
,7990.345
TALK,2734.75
DRESS,1350.18
STREET,2852.72
,7990.36
MILK,3435.62
SING,2385.065
STICKY,1901.44
SICK,1818.04
,7990.56
FEAR,5770.975
,7990.425
,7996.975
,8000.445
,7997.75
EXCITED,2209.35
,7998.075
,7998.4
,7997.405
,7991.385
,7990.085
,7990.575
,7989.565
,7989.43
,7997.145
,7991.195
,7990.845
,7997.505
SPOON,1483.965
TEA,966.775
,7990.685
,7999.44
,7989.995
,7989.52
,7990
,7990.405
,7990.215
,7990.625
,7998.585
,7990.735
,7989.35
G,7997.33
GRASS,1800.855
,7990.7
,7989.645
,7997.125
,7990.115
,7998.215
,7989.505
TOUCH,3619.24
,7990.49
CLEAN,2759.815
,7991.19
,7997.325
,7998.2
,7989.74
,7995.5
,7989.485
,7990.03
CONTROL,5029.07
NET,3362.855
,7990.885
,7989.77
SKY,5470.33
FLY,1050.85
LIE,5346.07
,7998.505
,7998.16
,7990.08
,7997.485
,7999.14
,7990.075
,7996.91
,7993.46
,7999.32
,7998.645
,7997.11
,7999.23
,1717.5
