"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"DRAW","slash",1.356055,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",27,4,NA,"Unrelated","FENCE",NA,NA,"14",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"SHIRT","z",1.29082,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",34,1,NA,NA,NA,NA,"BLOUSE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CHILD","slash",1.04049,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",35,4,NA,"Unrelated","ROCK",NA,NA,"6",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"TOWN","z",0.660075,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",32,1,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"CANDLE","z",0.75283,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"HOTEL","z",0.65257,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SCISSORS","slash",0.83494,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",26,4,NA,"Unrelated","PEPPER",NA,NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"FIRE","slash",0.708395,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",10,2,NA,"Unrelated","PICTURE",NA,NA,"14",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"DEVIL","z",0.65743,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"FLOWER","z",0.85224,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"GUILT","z",1.224465,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",23,1,NA,NA,NA,NA,"SHAME",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PEPPER","z",0.704025,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"GEEK","z",0.675695,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ANIMAL","slash",1.05127,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"FRONT","slash",1.00402,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,"Studied",4,2,NA,NA,NA,NA,"BACK",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SMILE","slash",0.6681,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"CLOCK","z",0.753425,"PN",1,"2020-11-05_16h00.50.169","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
