RecalledWord,StudyPosition,Block
DOCTOR,1,1
ROSE,2,1
GRAVE,3,1
STRESS,4,1
SKIN,5,1
SHEEP,6,1
SELF,7,1
MOVE,8,1
SPOTS,9,1
FAKE,10,1
UNDER,11,1
GRAND,12,1
EXPLODE,13,1
MILK,14,1
SUBJECT,15,1
PENNY,16,1
TOOTH,17,1
RULE,18,1
HEAD,19,1
CLASS,20,1
PROPER,21,1
TOUCH,22,1
GUILT,23,1
BRAIN,24,1
BABY,25,1
CELL,26,1
STING,27,1
KNIT,28,1
STEAL,29,1
STUPID,30,1
REPEAT,31,1
TOWN,32,1
WOOD,33,1
SHIRT,34,1
WRITE,35,1
MATH,36,1
BIKE,37,1
NIGHTS,38,1
ARMS,39,1
BREAD,40,1
CLIMB,41,1
LIGHT,42,1
CARRY,1,2
PRIDE,2,2
SMALL,3,2
FRONT,4,2
CASTLE,5,2
OVEN,6,2
GLASSES,7,2
LETTER,8,2
WANT,9,2
FIRE,10,2
ENGLISH,11,2
SMART,12,2
SURE,13,2
BALL ,14,2
MINIMUM,15,2
PLAN,16,2
MAID,17,2
SNEEZE,18,2
FINISH,19,2
SPICE,20,2
MAD,21,2
SOFT,22,2
PAPER,23,2
TIRED,24,2
WATER,25,2
UNCLEAR,26,2
BOSS,27,2
NINE,28,2
PENCIL,29,2
ITCH,30,2
ALLOW,31,2
SLEEP,32,2
SILK,33,2
LARGE,34,2
ONCE,35,2
HELLO,36,2
CAKE,37,2
JEANS,38,2
EFFECT,39,2
MONKEY,40,2
BANK,41,2
COPY,42,2
LETTUCE,1,3
LOSE,2,3
SHIP,3,3
TALK,4,3
HEAR,5,3
DRESS,6,3
PROBLEM,7,3
STICKY,8,3
CHURCH,9,3
MUSIC ,10,3
TAKE,11,3
NONE,12,3
MAGIC,13,3
SICK,14,3
BELL,15,3
SMELL,16,3
LAUGH,17,3
FIND,18,3
WARM,19,3
HAPPY,20,3
STORE,21,3
STREET,22,3
SOUR,23,3
SING,24,3
CHOOSE,25,3
COLLECT,26,3
FOOD,27,3
JACKET,28,3
TREE,29,3
BOARD,30,3
GAME,31,3
LOVE,32,3
ROOF,33,3
SWORD,34,3
BREAK,35,3
VOLCANO,36,3
HAIR,37,3
CLEAR,38,3
STRANGE,39,3
MAYBE,40,3
YEAR,41,3
DESERT,42,3
REAL,1,4
SLIDE,2,4
VOTE,3,4
SHALLOW,4,4
SAME,5,4
SPIT,6,4
EXACT,7,4
POTATO,8,4
PLANE ,9,4
STRIPE,10,4
DRUGS,11,4
SILVER,12,4
CARD,13,4
ANNOY,14,4
SHERIFF,15,4
YOUNG,16,4
DEATH,17,4
KNIFE,18,4
DISAGREE,19,4
RENT,20,4
WRONG,21,4
MANY,22,4
THIN,23,4
CLOWN,24,4
EXCUSE,25,4
SCISSORS,26,4
DRAW,27,4
NECK,28,4
PIECE,29,4
QUIET,30,4
MARRY,31,4
THANKS,32,4
HATE,33,4
STAMP,34,4
CHILD,35,4
TOCK,36,4
BUSH,37,4
PACKAGE,38,4
RAIN,39,4
TRAILER,40,4
TOOL,41,4
PURPOSE,42,4
