DelayedWord,DelayedRT
MAID,3201.86
BOSS,8004.485
SILK,3172.93
TREE,8001.145
JACKET,1265.91
,8000.585
WATER,2115.935
YOUNG,1466.555
CHILDREN,1833.3
BOARD,4400.645
GAME,1198.41
EXCUSE,8000.525
SHERIFF,1816.085
MARRY,3633.805
VOTE,2762.86
CALL,8000.125
READ,1149.22
WRITE,2234
PENCIL,8001.35
UNCLEAR,3666
CLEAR,1066.81
LARGE,1099.685
SMALL,950.0149998
MINIMUM,8000.685
ANNOYING,5750.185
BOSS,8000.77
CASTLE,4351.02
LOSE,3883.345
COLLECT,3233.73
GATHER,8000.13
FIND,8002.465
BADGE,8004.645
LEAVES,6451.685
STREET,3332.48
SHIP,8009.75
,8002.34
JACKET,7999.645
COLD,8000.145
VOTE,8013.215
OPINION,3272.065
BELIEVE,2117.36
SCARY,7999.355
,7997.07
,8006.535
SHIRT,8005.93
MAID,7994.68
CARRY,8010.535
UNCLEAR,1884.755
CLEAR,7156.76
AGREE,1896.14
QUIET,8000.22
,7995.32
SHERIFF,7992.905
MARRY,1517.275
WIFE,1182.15
CHILD,1267.51
YOUNG,4468.285
LOUD,1767.28
PLAY,2232.33
GAME,1551.21
ENJOY,5034.035
UNSURE,7998.765
QUIET,7999.135
SLEEP,4951.17
ITCH,2049.615
BED,3187.5
STICKY,1613.68
SMELL,2433.815
SHOWER,7371.07
HAIR,1667.99
PENCIL,8000.415
PAPER,1366.83
TIRED,8000.55
SLEEP,8000
SCHOOL,8000.03
STREAM,7988.835
WATER,3052.7
FOOD,1050.97
MEAL,1166.705
PLATE,2920.695
BADGE,3483.425
TRAINING,7999.495
STRESS,8000.355
,8003.45
,8000.34
,8001.645
,7998.555
OLD,8000.31
POWER,8000.53
VOTE,7999.825
,7999.335
STICKY,8002.21
FOOD,7999.84
CALL,8004.56
DRAW,8025.255
ITCH,4015.57
WOMAN,7989.42
SLEEP,8005.345
PENCIL,7989.11
WRITE,9401.22
