RecalledWord,StudyPosition,Block
HELLO,1,1
WATER,2,1
ONCE,3,1
UNCLEAR,4,1
FRONT,5,1
MAD,6,1
PRIDE,7,1
CASTLE,8,1
LARGE,9,1
ALLOW,10,1
SLEEP,11,1
MAID,12,1
GLASSES,13,1
FIRE,14,1
OVEN,15,1
FINISH,16,1
ITCH,17,1
COPY,18,1
WANT,19,1
SURE,20,1
SMALL,21,1
MINIMUM,22,1
SMART,23,1
CAKE,24,1
PENCIL,25,1
LETTER,26,1
NINE,27,1
BANK,28,1
SILK,29,1
SOFT,30,1
BALL ,31,1
PAPER,32,1
SNEEZE,33,1
JEANS,34,1
SPICE,35,1
TIRED,36,1
PLAN,37,1
BOSS,38,1
EFFECT,39,1
CARRY,40,1
MONKEY,41,1
ENGLISH,42,1
SMELL,1,2
STRANGE,2,2
FOOD,3,2
CHOOSE,4,2
BELL,5,2
FIND,6,2
TREE,7,2
JACKET,8,2
COLLECT,9,2
STORE,10,2
MUSIC ,11,2
CHURCH,12,2
BREAK,13,2
PROBLEM,14,2
DESERT,15,2
MAGIC,16,2
STICKY,17,2
HAPPY,18,2
LOSE,19,2
LETTUCE,20,2
TAKE,21,2
BOARD,22,2
SING,23,2
YEAR,24,2
SHIP,25,2
WARM,26,2
SWORD,27,2
MAYBE,28,2
ROOF,29,2
DRESS,30,2
VOLCANO,31,2
HAIR,32,2
TALK,33,2
STREET,34,2
NONE,35,2
LOVE,36,2
SOUR,37,2
CLEAR,38,2
SICK,39,2
HEAR,40,2
LAUGH,41,2
GAME,42,2
QUIET,1,3
CARD,2,3
SHERIFF,3,3
SPIT,4,3
DRAW,5,3
HATE,6,3
PACKAGE,7,3
TRAILER,8,3
RENT,9,3
YOUNG,10,3
CHILD,11,3
SILVER,12,3
POTATO,13,3
PURPOSE,14,3
DEATH,15,3
RAIN,16,3
TOCK,17,3
PIECE,18,3
ANNOY,19,3
SHALLOW,20,3
MARRY,21,3
THIN,22,3
VOTE,23,3
EXCUSE,24,3
DRUGS,25,3
TOOL,26,3
THANKS,27,3
CLOWN,28,3
DISAGREE,29,3
SLIDE,30,3
WRONG,31,3
BUSH,32,3
STRIPE,33,3
STAMP,34,3
SCISSORS,35,3
SAME,36,3
MANY,37,3
NECK,38,3
KNIFE,39,3
REAL,40,3
EXACT,41,3
PLANE ,42,3
STEAL,1,4
REPEAT,2,4
HEAD,3,4
STING,4,4
MATH,5,4
SHIRT,6,4
GUILT,7,4
SKIN,8,4
DOCTOR,9,4
WOOD,10,4
UNDER,11,4
PROPER,12,4
MILK,13,4
SELF,14,4
BREAD,15,4
CLIMB,16,4
BABY,17,4
SHEEP,18,4
CELL,19,4
FAKE,20,4
NIGHTS,21,4
TOWN,22,4
ARMS,23,4
GRAND,24,4
TOUCH,25,4
SUBJECT,26,4
EXPLODE,27,4
BRAIN,28,4
KNIT,29,4
STUPID,30,4
RULE,31,4
STRESS,32,4
ROSE,33,4
SPOTS,34,4
TOOTH,35,4
GRAVE,36,4
MOVE,37,4
PENNY,38,4
BIKE,39,4
CLASS,40,4
LIGHT,41,4
WRITE,42,4
