Participant,Prime,Prime_Duration,rt,Response
RR,VOID,68.93000001,2119.745,VOID
RR,ERUPT,66.72,1816.915,ERUPT
RR,FAUNA,66.51499998,1633.73,FAUNA
RR,SUIT,65.74000002,1500.675,SAINT
RR,FLAK,66.735,2398.17,PAINT
RR,UNEASY,66.74000001,2082.77,UNEASY
RR,KEEP,65.775,1517.77,SUN
RR,MEET,66.005,8001.435,XXXXX
RR,OPTION,66.96,1549.725,OPTION
RR,LEND,66.88,1716.23,LESS
RR,LYNX,65.75000001,2667.26,EQUIP
RR,SHAVE,67.08499999,1683.525,SHAVE
RR,REACTOR,66.685,2201.215,ERUPT
RR,MORAL,69.95999999,1433.965,MORAL
RR,FREAK,64.705,1933.42,SPINE
RR,EFFIGY,66.71499999,1783.38,FINE
RR,CORNER,67.12999998,1500.12,CORNER
RR,PEEP,51.66500001,1183.415,CORN
RR,SNAP,66.76999998,1453.315,SNAP
RR,MUZZLE,66.07999999,2149.315,PUZZLE
RR,VODKA,66.54999999,1799.12,VODKA
RR,CLAW,66.61499999,2049.82,CLAW
RR,TRAITOR,66.64499998,1534.51,SCREW
RR,TOTALLY,66.98499998,1617.35,TOTAL
RR,STARK,67.48,1633.54,SHARK
RR,PIAZZA,65.75000001,1616.615,PIZZA
RR,CHEAT,67.09,1467.3,CHEAT
RR,RESUME,67.76999999,1717.625,RESUME
RR,SPUNK,66.7,1634.44,SPUNK
RR,FOREST,66.64999999,3199.65,FOREST
RR,WIND,67.08000001,1351.215,WIND
RR,TRIVIA,65.79000002,2816.9,TRIVIA
RR,MIDLAND,66.79000001,2651.86,MIDLAND
RR,CHEER,66.47000002,1849.71,CHEER
RR,HOSTEL,66.26999998,2033.905,HOTE
RR,DAMAGE,66.395,1515.765,SCOUT
RR,SPAN,67.47500002,2032.96,COUNT
RR,SPUN,65.76499998,2067.42,SPUN
RR,CEASE,66.2,1781.84,EASE
RR,PULL,67.81499999,965.695,PULL
