"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"EXTENT",1817.235,NA,NA,NA,NA,"7,14,7,41","Related","VIOLET","PURPLE",NA
"GHOST",949.395,"Studied",11,1,NA,"2,6,20,16,26,6,42","Unrelated","LETTER",NA,NA
"APPLE",766.37,NA,NA,NA,NA,"3,27","Identical","BLACK",NA,NA
"NEPHEW",4866.18,"Studied",1,4,NA,"2,15","Unrelated","DOCTOR",NA,NA
"THROW",766.2000001,"Studied",2,3,NA,"2,28,25","Unrelated","PLANE",NA,NA
"PHONE",799.685,"Studied",3,3,NA,"3,17","Unrelated","EXACT",NA,NA
"YOURS",854.5050001,"Studied",4,3,NA,"4,18","Related","WEED","GRASS",NA
"SORRY",2616.895,"Studied",41,1,NA,"9,12,25,37,38,14,21,40","Unrelated","DRESS",NA,"APOLOGY"
"",8002.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUSCLE",4400.46,"Studied",6,3,NA,"6,23","Unrelated","BUSH",NA,NA
"WORSE",1902.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8003.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7991.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8002.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7990.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SORRY",4548.73,"Studied",41,1,NA,"9,12,25,37,38,14,21,40","Unrelated","DRESS",NA,"APOLOGY"
"",8000.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7989.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7997.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXTENT",2415.54,NA,NA,NA,NA,"7,14,7,41","Related","VIOLET","PURPLE",NA
"SORRY",1016.105,"Studied",41,1,NA,"9,12,25,37,38,14,21,40","Unrelated","DRESS",NA,"APOLOGY"
"APPLE",999.665,NA,NA,NA,NA,"3,27","Identical","BLACK",NA,NA
"GHOST",749.525,"Studied",11,1,NA,"2,6,20,16,26,6,42","Unrelated","LETTER",NA,NA
"",8001.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHOST",5032.65,"Studied",11,1,NA,"2,6,20,16,26,6,42","Unrelated","LETTER",NA,NA
"NEPHEW",1549.26,"Studied",1,4,NA,"2,15","Unrelated","DOCTOR",NA,NA
"AFTER",882.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THROW",1082.59,"Studied",2,3,NA,"2,28,25","Unrelated","PLANE",NA,NA
"PHON",800.275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHONE",1237.61,"Studied",3,3,NA,"3,17","Unrelated","EXACT",NA,NA
"YOURS",1157.905,"Studied",4,3,NA,"4,18","Related","WEED","GRASS",NA
"MUSCLE",999.3050001,"Studied",6,3,NA,"6,23","Unrelated","BUSH",NA,NA
"",8000.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
