participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,PICKLE,3399.925,firstword,firstword,,1,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,BEACH,1800.025,TWELVE,Identical,67.15500001,2,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,SELLER,1766.32,HORN,Identical,67.16000001,3,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,CHEESE,1298.92,GLORY,Identical,65.285,4,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,GROSS,1433.52,HYMN,Related,66.34,5,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,SELLER,1667.56,BABY,Unrelated,66.775,6,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,CHANGE,1550.01,LIGHT,Unrelated,65.785,7,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,NICKEL,5535.41,DIGIT,Related,59.37500001,8,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,STAIRS,2286.045,LEFT,Related,65.29,9,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,SMOOTH,2132.77,IMAGINE,Related,67.06,10,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,FISH,1633.265,REPEAT,Unrelated,67.31,11,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,WEST,1301.02,FAKE,Unrelated,66.655,12,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,STOP,1349.76,UNDER,Unrelated,66.435,13,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,GUITAR,3343.28,TOUCH,Unrelated,62.91499999,14,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,XXXXX,7998.705,WEIGHT,Identical,67.775,15,1
SS,1,2020-10-19_15h00.04.240,M1.4ConstantTotalFinal,2020.1.3,60,BIRD,2116.43,CLOAK,Related,67.295,16,1
