DelayedWord,DelayedRT
WRECK,7988.43
,8003.07
,7994.02
MONEY,7998.265
GUITAR,7995.755
BEACH,8001.615
FLOWER,7994.93
NAVY,7993.525
KIDNAP,8004.715
STATES,7995
LEMON,8002.49
,8003.385
GOLD,8000.96
,7994.005
,7997.16
,8002.455
,7998.405
,7993.15
,7998.29
,8004.465
MOTHER,7978.47
PICKLE,8009.21
GROSS,8002.515
,7994.595
,7989.245
EXCITE,7997.265
,7990.22
LOVE,7989.28
,8002.42
NEWS,7988.53
TENNIS,8012.035
SQUARE,7998.125
,8004.875
,7993.43
,8015.38
,8002.845
,8009.49
,7988.36
,7993.795
,7995.065
,8001.845
,8002.365
,7997.15
,8009.415
,7997.08
,7994.97
,8002.785
,7998.01
,8002.7
,7994.93
MOTHER,7984.89
,7985.62
,7995.185
,7994.72
,7999.34
,8009.73
TIRE,8019.695
,8001.965
WRONG,7995.015
,7996.755
,7993.925
,8003.465
,8007.16
,8036.445
,8014.74
,7993.165
,7995.62
,8013.835
,8013.765
,6621.875
