"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"DISAGREE","slash",2.49464,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"CHAIN","slash",1.17289,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",20,1,"Identical","Identical","CHAIN",NA,NA,"27",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"STORE","slash",1.81581,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","STORE",NA,NA,"36",NA,"Old","New",0,0,1,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
"INHALE","z",1.0117,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",18,1,NA,NA,NA,NA,"EXHALE",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"STAIRS","slash",1.17202,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",32,3,NA,NA,NA,NA,"STEPS",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"CLAM","slash",0.950345,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",29,3,"Identical","Identical","CLAM",NA,NA,"42",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"SPIT","z",1.14709,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TOOTH","slash",1.28263,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","TOOTH",NA,NA,"25",NA,"Old","New",0,0,1,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
"TOUCH","slash",1.919165,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated","Unrelated","TOUCH",NA,NA,"41",NA,"Old","New",0,0,1,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Unrelated"
"BRIDE","slash",2.50302,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",14,4,NA,"Identical","STOMACH",NA,NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"WANT","z",1.796315,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"PHONE","z",0.996385,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",32,2,NA,NA,NA,NA,NA,NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"Unprimed",NA
"SUPPER","z",1.149735,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",37,1,NA,NA,NA,NA,"DINNER",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"FOUND","slash",0.97773,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",23,2,NA,NA,NA,NA,"LOST",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"FAKE","slash",0.884005,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"MINUTE","z",1.139155,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",37,2,NA,NA,NA,NA,"HOUR",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"SQUARE","slash",0.985855,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",1,1,NA,"firstword","firstword",NA,NA,"1","32","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
"SWEET","slash",2.655185,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",20,4,NA,"Related","TENT","CAMP",NA,"4",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"ALIVE","z",1.030175,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",7,1,NA,NA,NA,NA,"DEAD",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"KILL","slash",1.136445,"YR",1,"2020-10-16_16h35.24.260","DelayedExp","2020.1.3",60,"Studied",1,4,NA,"firstword","firstword",NA,NA,"1",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
