Participant,Prime,Prime_Duration,rt,Response
ZI,FREAK,67.24499998,2100.375,FREAK
ZI,TRIVIA,66.71000001,2348.905,XXXXX
ZI,MEET,66.41999999,2985.975,MEET
ZI,ERUPT,68.48000002,8001.595,XXXXX
ZI,SPUNK,67.06,1720.115,SPUNK
ZI,REACTOR,67.125,2018.685,REACTOR
ZI,OPTION,66.59,8003.09,XXXXX
ZI,SUIT,65.98499999,1482.39,SUIT
ZI,HOSTEL,66.69000001,1787.32,HOTEL
ZI,SPAN,67.11500001,1048.8,SPAN
ZI,CHEER,67.11500001,1350.32,CHEER
ZI,KEEP,66.445,1886.395,CHAIR
ZI,VODKA,67.81000001,2882.885,VODKA
ZI,DAMAGE,66.54,1217.46,DRAMA
ZI,RESUME,66.51499998,1365.23,RESUME
ZI,VOID,67.40999999,1049.66,VOID
ZI,SNAP,66.475,1016.88,SNAP
ZI,MORAL,65.31499999,1575.27,MORAL
ZI,LEND,66.69000001,1569.56,BLEND
ZI,CHEAT,66.43000001,2982.03,CHEAT
ZI,SPUN,66.75500001,3901.01,SPUN
ZI,PULL,66.62499998,1199.56,PULL
ZI,STARK,65.94,2120.63,STARK
ZI,EFFIGY,65.94,1133.355,FRIGHT
ZI,MIDLAND,67.22500001,2167.965,MIDLAND
ZI,TOTALLY,66.49,1484.725,TOTALLY
ZI,UNEASY,67.08500002,2266.105,UNEASY
ZI,FAUNA,66.185,8001.785,XXXXX
ZI,LYNX,65.76999999,8000.94,XXXXX
ZI,PEEP,65.045,1265.3,PEEP
ZI,WIND,67.045,999.655,WIND
ZI,TRAITOR,67.17499997,1835.04,TRAITOR
ZI,FLAK,65.86,1214.19,FLANK
ZI,CLAW,66.77,1118.82,CLAW
ZI,FOREST,66.07,2348.285,FORREST
ZI,MUZZLE,65.99499998,1115.04,MUZZLE
ZI,PIAZZA,66.29500003,938.265,PIZZA
ZI,CORNER,67.11,966.9,SOCCER
ZI,CEASE,66.42500003,1734.255,CREST
ZI,SHAVE,67.00000001,1031.655,SHAVE
