,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated,MeanRT_Total,StDevRT_Total,MeanZ,MeanZ_NP,MeanZ_Identical,MeanZ_Related,MeanZ_Unrelated
1,5329.63,5678.951509,6169.086905,6612.993,6022.011492,2987.184242,4.75E-17,-0.231783993,-0.114843931,0.049235468,0.197838988
2,1186.58,1271.943269,1729.217241,2394.713833,1677.183348,1351.832607,4.68E-17,-0.362917232,-0.299770901,0.038491373,0.530783532
3,2099.928333,1819.032685,1968.518625,2836.850147,2135.276336,1243.012306,8.36E-17,-0.028437371,-0.254417152,-0.134156122,0.564414212
4,2646.2725,2408.5775,2950.845,3108.377407,2776.241646,1502.790456,4.67E-17,-0.086485209,-0.244654299,0.116186094,0.22101269
5,7996.91375,7877.818611,7978.0464,7844.376591,7910.37442,353.223988,-1.53E-16,0.24499845,-0.092167605,0.19158376,-0.186844132
6,1854.97,1543.904659,2059.143056,3575.848571,2036.150153,1390.151801,-1.29E-17,-0.1303312,-0.354094779,0.01653985,1.107575746
7,8001.25375,7734.990227,7819.816,8000.1475,7847.959355,862.989293,-4.90E-16,0.177631862,-0.130904437,-0.032611476,0.176349981
8,2862.245,2162.823108,2630.806522,2882.2725,2500.349824,1385.341773,-1.75E-17,0.261231693,-0.243641477,0.094169324,0.275688414
9,3805.058333,3083.289825,3791.514231,3240.640326,3338.629,2802.612773,4.13E-17,0.166426607,-0.091107547,0.161593937,-0.03496333
10,8002.83125,8001.644565,8003.415952,7999.301,8001.963707,6.848584792,-4.81E-14,0.126674799,-0.046599654,0.21205045,-0.388796661
11,1165.7975,1760.813939,3106.384231,2184.3175,2083.270333,1475.38834,-2.60E-17,-0.621851758,-0.218556962,0.693453967,0.068488522
12,3267.19625,2279.602361,2534.558333,3079.362885,2617.027656,1465.172988,1.26E-16,0.44374869,-0.23029724,-0.056286407,0.315549926
13,2920.075,2844.505192,2400.759815,2241.079559,2490.710495,1348.595296,-5.68E-17,0.318379062,0.26234312,-0.066699535,-0.185104409
14,1589.191667,1504.04,1422.933519,1375.1125,1445.300722,727.3596682,-1.33E-16,0.1978264,0.080756853,-0.030751229,-0.09649727
15,7999.80625,7999.620417,8000.178214,8000.935556,8000.020196,3.995921291,-4.91E-14,-0.053541114,-0.100046868,0.039544875,0.22907345
16,2094.526667,2481.120135,2564.16875,2278.2335,2419.718846,1005.835642,-8.70E-17,-0.323305484,0.061045052,0.143611837,-0.140664479
17,3251.05875,2183.729512,2995.267826,2791.548125,2591.581087,1378.264398,9.25E-17,0.478484146,-0.295916789,0.292894992,0.145086123
18,1793.286667,1797.016977,1905.2325,1610.951053,1778.890313,1248.766239,5.61E-17,0.011528462,0.014515658,0.101173609,-0.134484145
19,2289.511667,2591.19575,2997.751711,2395.440588,2659.790522,1854.876605,4.21E-17,-0.199624522,-0.036980774,0.18220144,-0.142516183
20,2433.05,1821.604405,1969.109839,1996.014583,1932.53802,1490.216282,-1.84E-17,0.335865328,-0.074441285,0.024541283,0.042595538
21,1868.158333,2775.741447,3434.097593,2704.590714,2897.70835,1785.37153,6.56E-17,-0.576658695,-0.068314578,0.300435643,-0.108166638
22,2709.98875,3222.79871,3879.324833,4028.2592,3642.588222,2207.873704,-5.61E-17,-0.42239711,-0.190132937,0.107223801,0.174679818
23,7995.6075,7993.624625,7994.574405,7994.131296,7994.168894,3.500820104,1.08E-13,0.410934053,-0.155468944,0.115833132,-0.010739629
24,1607.69625,2545.225135,2481.214359,2403.570469,2448.979732,2337.41942,-8.42E-17,-0.359919779,0.041175923,0.01379069,-0.019427093
25,2705.74375,2223.772297,2750.894464,2303.230476,2427.727056,1234.446492,-2.01E-17,0.225215671,-0.165219602,0.261791346,-0.100852147
26,1734.018333,2051.298333,1807.937143,2361.090625,2047.777713,1352.69373,4.45E-17,-0.231951529,0.002602674,-0.177305893,0.231621472
27,1825.383333,2041.907667,2431.884643,2291.059821,2235.683427,1082.024032,-1.06E-16,-0.37919684,-0.179086374,0.181327965,0.051178525
28,2714.735,1842.638939,1998.538462,2145.738235,2019.462396,1336.030213,-4.16E-17,0.520401857,-0.132349894,-0.015661273,0.094515707
29,3036.6675,1394.387632,2482.781522,2643.710667,2219.666721,1779.558192,-1.16E-16,0.459103154,-0.463755045,0.147854002,0.23828608
30,2099.72875,1624.708333,1786.203,1285.2388,1606.373421,809.3290247,1.14E-17,0.609585612,0.02265446,0.222195885,-0.396791183
31,2361.6775,1452.660909,1398.314333,1252.365455,1425.685281,833.3395708,-3.67E-18,1.123182256,0.032370512,-0.032844891,-0.207982235
32,4953.715,5314.142571,5390.718143,6047.177188,5547.119387,3438.565496,-6.94E-17,-0.172573239,-0.067754072,-0.045484445,0.145426284
33,2206.4,1500.653649,1523.484211,1261.671184,1448.097328,587.7797163,1.51E-16,1.290113713,0.089414996,0.128257034,-0.317170086
34,1963.62,1836.818125,2082.757222,2893.425625,2331.340902,1752.772729,-5.00E-17,-0.209793829,-0.282137421,-0.14182311,0.320683175
35,7997.40875,7999.333816,8054.874706,8005.388448,8018.917381,174.6348124,1.50E-16,-0.123163478,-0.112140099,0.205900098,-0.07746985
36,3892.19875,4932.827826,3056.481563,3573.439773,3946.818692,2781.737012,-9.65E-18,-0.019635193,0.35445807,-0.32006517,-0.134225097
37,8001.68125,8021.27375,8000.207813,8000.057273,8007.469362,48.19074442,2.01E-15,-0.120108369,0.286453103,-0.150683483,-0.153807314
38,2200.985,1887.923085,1617.139839,2083.835857,1885.486453,1100.989433,5.82E-18,0.286559105,0.002213129,-0.243732234,0.180155593
39,3497.9775,2168.317955,2452.139881,2180.454605,2335.302406,1361.521662,1.05E-16,0.853952696,-0.12264546,0.085813894,-0.113731426
40,3157.04125,1834.940714,2911.113333,2464.04375,2506.0712,1708.459631,1.10E-16,0.38102747,-0.392827828,0.237080307,-0.024599615
41,1779.0525,1569.610196,1981.163,1883.344286,1782.724552,896.3377928,1.23E-17,-0.004096728,-0.237761208,0.221388018,0.112256489
42,2162.4725,2115.908243,1870.949,2163.5532,2053.706198,895.6831169,1.85E-16,0.121433909,0.069446486,-0.204042249,0.122640474
43,3775.6275,2675.073485,2606.2776,3021.673333,2823.706263,1922.310157,4.19E-17,0.495196487,-0.077319874,-0.113108003,0.102983938
44,1844.246667,2735.55,2067.642083,2057.947903,2279.120517,2070.693181,9.21E-17,-0.210013658,0.220423521,-0.102129295,-0.106810906
45,1366.44,1862.967429,1772.255217,1826.016129,1811.647283,1125.33702,4.39E-17,-0.395621289,0.045604246,-0.035004683,0.012768483
46,2024.031667,2498.056364,2511.447692,2473.601111,2467.910268,1351.907057,-1.26E-16,-0.328335146,0.022298941,0.032204451,0.004209493
47,2114.86,1435.84,1895.798382,1886.26375,1693.935885,899.0623612,-6.25E-17,0.468181222,-0.287072283,0.224525579,0.213920495
48,4442.35875,2508.641667,2219.21875,2201.560833,2787.152941,1832.027671,7.84E-17,0.903482974,-0.152023509,-0.310003064,-0.319641519
49,1784.57875,2385.237778,2239.411932,2037.457955,2242.019261,1126.997291,3.72E-17,-0.405893177,0.127079735,-0.002313518,-0.181510025
50,6896.288333,2320.535833,2393.024474,2534.5505,2643.616417,1457.999773,-7.76E-17,2.916785034,-0.221591655,-0.171873787,-0.074805167
51,2383.855,2412.200676,2287.017045,2408.018182,2377.227831,1425.347157,-1.38E-16,0.004649512,0.024536369,-0.063290396,0.021602001
52,2608.0875,1871.179808,1767.000357,1937.117826,1894.747154,1045.987558,-7.91E-17,0.681977851,-0.022531192,-0.122130322,0.040507817
53,2005.7675,1203.203269,1268.620278,1260.825,1262.82553,496.8087443,2.14E-17,1.495428529,-0.12001049,0.01166394,-0.004026761
54,2688.78875,1591.092273,2215.048333,2593.274286,2146.784412,1652.756143,-2.76E-17,0.327939691,-0.336221494,0.041303081,0.27014867
55,2680.00625,2508.944054,2097.95439,2287.605429,2304.557906,1348.392867,-4.36E-17,0.27844136,0.151577595,-0.153222047,-0.012572358
56,1771.27,1620.6388,1657.946786,1581.581818,1624.56013,1048.085972,8.04E-17,0.13997885,-0.003741421,0.031854882,-0.041006476
57,1699.5,1930.572917,2347.371071,1856.944833,2017.687347,1155.314566,-6.83E-17,-0.275411872,-0.075403213,0.285362735,-0.139133114
58,3823.40875,4749.509118,4602.739091,2323.105,4303.832214,2697.678547,5.64E-17,-0.178087736,0.165207565,0.110801517,-0.734233964
