"","Recognized_Identical","Unrecognized_Identical","Recognized_Related","Unrecognized_Related","Recognized_Unrelated","Unrecognized_Unrelated"
"1",32,3,32,3,32,5
"2",28,16,13,8,20,10
"3",25,15,33,18,23,22
"4",24,9,18,9,21,10
"5",31,0,31,0,28,0
"6",31,10,29,5,36,12
"7",29,13,21,11,26,17
"8",18,4,15,2,20,3
"9",13,5,19,4,22,8
"10",14,7,17,4,10,3
"11",31,3,34,0,32,7
"12",35,5,36,8,27,8
"13",10,9,12,5,19,7
"14",19,4,16,3,13,6
"15",46,2,46,0,29,0
"16",28,7,32,7,29,11
"17",50,6,36,1,29,2
"18",18,22,6,3,11,8
"19",31,1,18,1,20,2
"20",39,4,25,2,18,3
"21",0,10,0,9,0,10
"22",15,6,9,2,10,6
"23",21,5,25,3,14,2
